Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,CalMass,AlignMasses,Abundance,sn,resolution,rel_abu,peak_index
205.0353808021,7,10,7,0,0,0,0,0,CHO,Tannin,206.04265726898,-0.0222928593672204,1,205.0353808021,205.0353808021,1511687.4,8.27,540990.5,0.00264289234674936,70
207.029911433111,10,8,5,0,0,0,0,0,CHO,Lignin,208.037187899991,-0.0698562173339319,1,207.029911433111,207.029911433111,2624002,16.24,576685.1,0.00458755877945071,71
207.033243435836,7,12,5,0,0,1,0,0,CHOS,Carb,208.040519902716,0.116722378459071,1,207.033243435836,207.033243435836,4120578.3,26.97,537748.8,0.00720403229745216,72
207.069639465598,8,16,6,0,0,0,0,0,CHO,Carb,208.076915932478,85.4122315414145,1,207.069639465598,207.069639465598,7435268.5,50.72,555146.6,0.012999125490281,73
209.0091660516,9,6,6,0,0,0,0,0,CHO,ConHC,210.01644251848,-0.0218710493667256,1,209.0091660516,209.0091660516,5681259,38.04,526471.5,0.00993257993087785,74
209.0489250516,10,10,5,0,0,0,0,0,CHO,Lignin,210.05620151848,-16.0818245573657,1,209.0489250516,209.0489250516,5491309,36.68,518731.8,0.00960048918164951,75
210.040764451881,9,9,5,1,0,0,0,0,CHON,Lignin,211.048040918761,0.149188016605831,1,210.040764451881,210.040764451881,1701020.6,9.6,535818.3,0.00297390474075725,76
211.0612016221,10,12,5,0,0,0,0,0,CHO,Lignin,212.06847808898,-0.0216594188044227,1,211.0612016221,211.0612016221,5872843.5,39.41,518577.9,0.0102675282864743,77
211.0975871284,11,16,4,0,0,0,0,0,CHO,Lignin,212.10486359528,-0.0216557033757225,1,211.0975871284,211.0975871284,4049101,26.3,506229.3,0.00707906809576846,78
212.056585521316,0,0,0,0,0,0,0,0,,None,213.063861988196,0,0,212.056585521316,212.056585521316,1393911.4,7.38,461996.9,0.00243698384408488,79
213.01530018,7,6,6,2,0,0,0,0,CHON,Tannin,214.02257664688,0.0434006551188231,1,213.01530018,213.01530018,1484320.9,8.03,583603.6,0.00259504732706651,80
213.04046618,9,10,6,0,0,0,0,0,CHO,Tannin,214.04774264688,-0.0214591376921148,1,213.04046618,213.04046618,12410146,85.87,493149.3,0.0216967343152044,81
213.0768516863,10,14,5,0,0,0,0,0,CHO,Lignin,214.08412815318,-0.0214554906530993,1,213.0768516863,213.0768516863,19897636,139.21,495527.6,0.0347871589740078,82
213.1132371926,11,18,4,0,0,0,0,0,CHO,Protein,214.12051365948,-0.0214518445880928,1,213.1132371926,213.1132371926,5313317,35.31,497928.2,0.00928930467711331,83
214.072135718066,9,13,5,1,0,0,0,0,CHON,Lignin,215.079412184946,-0.184359562257806,1,214.072135718066,214.072135718066,5914958.5,39.59,449731.4,0.0103411581991026,84
214.080230813213,9,14,5,0,1,0,0,0,CHO,Lignin,215.087507280093,-0.134282058975255,0,214.080230813213,214.080230813213,2213710.8,13.22,517102,0.0038702441597624,85
214.9656262442,7,4,6,0,0,1,0,0,CHOS,ConHC,215.97290271108,-0.204470465693569,1,214.9656262442,214.9656262442,8440181,57.58,491912.1,0.0147560201732708,86
215.0561162442,9,12,6,0,0,0,0,0,CHO,Tannin,216.06339271108,-0.0212589459255964,1,215.0561162442,215.0561162442,86381944,612.87,489877.2,0.151022082141408,87
215.059035038694,8,13,3,2,0,0,1,0,CHONP,Protein,216.066311505574,0.311471167104782,1,215.059035038694,215.059035038694,2030457.1,11.92,538995,0.00354986059286655,88
215.0925017505,10,16,5,0,0,0,0,0,CHO,Protein,216.09977821738,-0.0212553664794846,1,215.0925017505,215.0925017505,20725114,145.11,497899.3,0.0362338438331285,89
215.1288977505,11,20,4,0,0,0,0,0,CHO,Protein,216.13617421738,-0.0698031232122655,1,215.1288977505,215.1288977505,3035004.3,19.07,561694.3,0.00530611661962744,90
215.4790797505,0,0,0,0,0,0,0,0,,None,216.48635621738,0,0,215.4790797505,215.4790797505,1397899.8,7.39,457492.8,0.00244395678825031,91
216.05948181441,8,12,6,0,1,0,0,0,CHO,Tannin,217.06675828129,-0.0706035767660215,0,216.05948181441,216.05948181441,7432613.5,50.25,504811.9,0.0129944837375081,92
216.087772651214,9,15,5,1,0,0,0,0,CHON,AminoSugar,217.095049118094,-0.122162590497036,1,216.087772651214,216.087772651214,2676647,16.47,459761.2,0.00467959835561878,93
216.09585860457,9,16,5,0,1,0,0,0,CHO,Protein,217.10313507145,-0.0304442847858721,0,216.09585860457,216.09585860457,2141095.3,12.67,472857.5,0.00374329003604252,94
217.0353808021,8,10,7,0,0,0,0,0,CHO,Tannin,218.04265726898,-0.0210659695661269,1,217.0353808021,217.0353808021,3523026.8,22.48,546688.6,0.00615932934753103,95
217.0717663084,9,14,6,0,0,0,0,0,CHO,AminoSugar,218.07904277528,-0.0210624548039626,1,217.0717663084,217.0717663084,47044052,331.6,481312.1,0.0822474044507342,96
217.08932390184,0,0,0,0,0,0,0,0,,None,218.09660036872,0,0,217.08932390184,217.08932390184,1569365.4,8.61,516879.4,0.00274373114766535,97
217.1081518147,10,18,5,0,0,0,0,0,CHO,Protein,218.11542828158,-0.0210589412144472,1,217.1081518147,217.1081518147,3746262.3,24.07,521894.7,0.00654961334042055,98
218.075126551667,8,14,6,0,1,0,0,0,CHO,AminoSugar,219.082403018547,-0.0456392081875678,0,218.075126551667,218.075126551667,3547141.5,22.65,483536.8,0.00620148922534318,99
219.0332848663,8,12,5,0,0,1,0,0,CHOS,AminoSugar,220.04056133318,-0.0779287231228952,1,219.0332848663,219.0332848663,4659767,30.55,483517.2,0.00814669920642007,100
219.0510308663,8,12,7,0,0,0,0,0,CHO,Carb,220.05830733318,-0.020873013329105,1,219.0510308663,219.0510308663,5707320,38,494471.8,0.00997814253690912,101
219.540584912569,0,0,0,0,0,0,0,0,,None,220.547861379449,0,0,219.540584912569,219.540584912569,1424082.6,7.55,442622.1,0.00248973233796811,102
221.0091660516,10,6,6,0,0,0,0,0,CHO,ConHC,222.01644251848,-0.0206889180370658,1,221.0091660516,221.0091660516,5811881,38.61,475288.5,0.0101609471740771,103
221.0456040516,11,10,5,0,0,0,0,0,CHO,Lignin,222.05288051848,-0.257087320253968,1,221.0456040516,221.0456040516,1520555.1,8.23,548500.3,0.00265839580101065,104
221.0489330516,8,14,7,0,0,0,0,0,CHO,Carb,222.05620951848,79.9044785033923,1,221.0489330516,221.0489330516,11550379,79.24,477427.5,0.0201935983994803,105
221.2817790516,0,0,0,0,0,0,0,0,,None,222.28905551848,0,0,221.2817790516,221.2817790516,1510074,8.16,518224.3,0.00264007162964062,106
223.0248161158,10,8,6,0,0,0,0,0,CHO,Lignin,224.03209258268,-0.0205027767637826,1,223.0248161158,223.0248161158,4621617.5,30.19,511524.8,0.00808000220174681,107
223.064551313138,11,12,5,0,0,0,0,0,CHO,Lignin,224.071827780018,-14.9696833899585,1,223.064551313138,223.064551313138,12189492,83.77,442588.4,0.0213109635745873,108
223.0975871284,12,16,4,0,0,0,0,0,CHO,Lignin,224.10486359528,-0.0204961192580928,1,223.0975871284,223.0975871284,1994550.8,11.59,548151.3,0.00348708538850215,109
224.056505970562,10,11,5,1,0,0,0,0,CHON,Lignin,225.063782437442,-0.266451763840264,1,224.056505970562,224.056505970562,1509505,8.12,570118.3,0.00263907684345314,110
224.71785218,0,0,0,0,0,0,0,0,,None,225.72512864688,0,0,224.71785218,224.71785218,1397880,7.34,267521.3,0.00244392217178895,111
225.04046618,10,10,6,0,0,0,0,0,CHO,Lignin,226.04774264688,-0.0203199552306207,1,225.04046618,225.04046618,5379540,35.43,442122.8,0.00940508275390272,112
225.043951101825,0,0,0,0,0,0,0,0,,None,226.051227568705,0,0,225.043951101825,225.043951101825,1470420.4,7.85,571177.6,0.00257074499771853,113
