Index,Mass,IdealMass
226,249.00411000,249.00408067
227,249.04047200,249.04046618
228,249.04381100,0.00000000
229,249.05351200,0.00000000
230,249.06162500,249.06159555
231,249.07683400,249.07685169
232,249.08022400,0.00000000
233,249.08983900,0.00000000
234,249.11659900,0.00000000
235,250.03570800,0.00000000
236,250.04388300,0.00000000
237,250.07213400,0.00000000
238,250.08359000,0.00000000
239,251.01974300,251.01973074
240,251.02310400,0.00000000
241,251.05610700,251.05611624
242,251.05946700,0.00000000
243,251.09248900,251.09250175
244,251.09588000,0.00000000
245,251.12888300,251.12888726
246,252.05138700,0.00000000
247,252.05933000,0.00000000
248,252.06289400,0.00000000
249,252.08770600,0.00000000
250,252.09926200,0.00000000
251,252.99901300,252.99899530
252,253.03541400,253.03538080
253,253.03877800,0.00000000
254,253.07177700,253.07176631
255,253.07515100,0.00000000
256,253.10812100,253.10815181
257,253.14451300,253.14453732
258,254.03065900,0.00000000
259,254.06699100,0.00000000
260,254.07516800,0.00000000
261,254.10338900,0.00000000
262,254.99686200,0.00000000
263,255.05104400,255.05103087
264,255.06228000,0.00000000
265,255.08739100,255.08741637
266,255.12377000,255.12380188
267,256.04628700,0.00000000
268,256.05442000,0.00000000
269,256.08268000,0.00000000
270,256.09077200,0.00000000
271,256.97617000,0.00000000
272,257.03031000,257.03029542
273,257.06664100,257.06668093
274,257.07791800,0.00000000
275,257.08605300,0.00000000
276,257.10302800,257.10306644
277,257.13946200,257.13945194
278,258.00777900,0.00000000
279,258.06190900,0.00000000
280,258.07003800,0.00000000
281,258.09832100,0.00000000
282,258.10642700,0.00000000
283,258.99185100,0.00000000
284,259.02818900,0.00000000
285,259.04593100,259.04594549
286,259.06457100,0.00000000
287,259.08230000,259.08233099
288,259.10724900,0.00000000
289,259.11869100,259.11871650
290,260.02013900,0.00000000
291,260.04929000,0.00000000
292,260.07755300,0.00000000
293,260.08567300,0.00000000
294,260.11393500,0.00000000
295,260.12206900,0.00000000
296,261.00402100,261.00408067
297,261.04039300,261.04046618
298,261.04384300,0.00000000
299,261.06155200,261.06159555
300,261.06582500,0.00000000
301,261.08021500,0.00000000
302,261.08655400,0.00000000
303,261.08987500,0.00000000
304,261.09800100,261.09798106
305,261.13435700,261.13436657
306,262.06496600,0.00000000
307,262.08365500,0.00000000
308,262.10134400,0.00000000
309,262.15367700,0.00000000
310,263.01974100,263.01973074
311,263.02309900,0.00000000
312,263.03273600,0.00000000
313,263.04082300,263.04086011
314,263.05611800,263.05611624
315,263.05948400,0.00000000
316,263.06582400,0.00000000
317,263.06919800,0.00000000
318,263.07721600,263.07724562
319,263.09243700,263.09250175
320,263.09584300,0.00000000
321,264.00060100,0.00000000
322,264.05133400,0.00000000
323,264.05474100,0.00000000
324,264.06285200,0.00000000
325,264.08774600,0.00000000
326,264.09927600,0.00000000
327,264.99898300,264.99899530
328,265.03537000,265.03538080
329,265.03875300,0.00000000
330,265.05522200,0.00000000
331,265.07178500,265.07176631
332,265.07513200,0.00000000
333,265.08490000,0.00000000
334,265.10815600,265.10815181
335,265.11150300,0.00000000
336,266.00230800,0.00000000
337,266.04213500,0.00000000
338,266.06709600,0.00000000
339,266.07036600,0.00000000
340,266.07849800,0.00000000
341,267.01465000,267.01464536
342,267.03455400,0.00000000
343,267.05101700,267.05103087
344,267.05439200,0.00000000
345,267.06234500,0.00000000
346,267.07096100,0.00000000
347,267.08742200,267.08741637
348,267.09078500,0.00000000
349,267.12379400,267.12380188
350,268.04628400,0.00000000
351,268.05433300,0.00000000
352,268.05775500,0.00000000
353,268.08260900,0.00000000
354,268.09073900,0.00000000
355,268.11906200,0.00000000
356,269.01256300,0.00000000
357,269.03030000,269.03029542
358,269.05012300,0.00000000
359,269.06664700,269.06668093
360,269.07793900,0.00000000
361,269.10303800,269.10306644
362,269.13945200,269.13945194
363,270.06193700,0.00000000
364,270.07001600,0.00000000
365,270.09828700,0.00000000
366,270.10641900,0.00000000
367,270.99182500,0.00000000
368,271.02079700,0.00000000
369,271.02815600,0.00000000
370,271.04593900,271.04594549
371,271.05051100,0.00000000
372,271.06452200,0.00000000
373,271.08225400,271.08233099
374,271.09357400,0.00000000
375,271.10180700,0.00000000
376,271.11868700,271.11871650
377,271.15511700,271.15510201
378,271.99514800,0.00000000
379,272.02338800,0.00000000
380,272.04118200,0.00000000
381,272.04927400,0.00000000
382,272.07756300,0.00000000
383,272.08565000,0.00000000
