Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,data_fticr_neg_esi_2,data_fticr_neg_esi_1
179.071373843874,10,12,3,0,0,0,0,0,CHO,Lignin,180.078650310754,-0.0336478189391755,1,13359810,15267011
179.943851458398,0,0,0,0,0,0,0,0,,None,180.951127925278,0,0,0,2958971
180.030197426515,0,0,0,0,0,0,0,0,,None,181.037473893395,0,1,0,2416456.5
180.65664419546,0,0,0,0,0,0,0,0,,None,181.66392066234,0,0,0,12934213
181.014258772035,8,6,5,0,0,0,0,0,CHO,ConHC,182.021535238915,-0.0655736407941092,1,10548621,11287445
181.050090761545,0,0,0,0,0,0,0,0,,None,182.057367228425,0,0,14254255,10518455
181.050632761385,9,10,4,0,0,0,0,0,CHO,Lignin,182.057909228265,-0.00230072524024484,1,162735280,115342776
181.05112947229,0,0,0,0,0,0,0,0,,None,182.05840593917,0,0,11080752,0
181.08703225073,10,14,3,0,0,0,0,0,CHO,Lignin,182.09430871761,-0.0790903921111455,1,7544017.5,7837402
182.053987468434,8,10,4,0,1,0,0,0,CHO,Lignin,183.061263935314,-0.00157386823039009,0,15940733,11166088
182.138747650588,0,0,0,0,0,0,0,0,,None,183.146024117468,0,0,0,2361628.8
182.993509337476,7,4,6,0,0,0,0,0,CHO,ConHC,184.000785804356,0.0111773673551967,1,0,4111557.3
183.029903184982,8,8,5,0,0,0,0,0,CHO,Lignin,184.037179651862,-0.0341483256924614,1,2990556.8,4379435
183.054889040465,0,0,0,0,0,0,0,0,,None,184.062165507345,0,0,2380086.8,0
183.06629317444,9,12,4,0,0,0,0,0,CHO,Lignin,184.07356964132,-0.058496830160007,1,7489922.5,9613969
183.102676663903,10,16,3,0,0,0,0,0,CHO,Protein,184.109953130783,-0.0475307431754959,1,12327848,14605751
184.899457649809,0,0,0,0,0,0,0,0,,None,185.906734116689,0,0,2605373,0
185.000524605469,0,0,0,0,0,0,0,0,,None,186.007801072349,0,0,0,3213377.3
185.001104116864,0,0,0,0,0,0,0,0,,None,186.008380583744,0,0,11039407,33351106
185.02222111081,0,0,0,0,0,0,0,0,,None,186.02949757769,0,0,3367750.5,4288601.5
185.045531589104,8,10,5,0,0,0,0,0,CHO,Lignin,186.052808055984,0.0826405990720305,1,0,2642163.8
185.081936093692,9,14,4,0,0,0,0,0,CHO,Protein,186.089212560572,-0.0194679332480794,1,29730058,31916572
185.118325083264,10,18,3,0,0,0,0,0,CHO,Protein,186.125601550144,-0.0381787554495243,1,9078066,10755142
186.085302306872,8,14,4,0,1,0,0,0,CHO,Protein,187.092578773752,-0.0801643358702056,0,2386757,3015642
186.113565396207,0,0,0,0,0,0,0,0,,None,187.120841863087,0,1,3598246,0
186.998142547223,0,0,0,0,0,0,0,0,,None,188.005419014103,0,0,3571513.3,10168527
187.061200200187,8,12,5,0,0,0,0,0,CHO,AminoSugar,188.068476667067,-0.0168628327540775,1,4372868.5,0
187.097001519178,0,0,0,0,0,0,0,0,,None,188.104277986058,0,0,15057968,14225734
187.097374845407,0,0,0,0,0,0,0,0,,None,188.104651312287,0,0,0,14316358
187.097585519012,9,16,4,0,0,0,0,0,CHO,Protein,188.104861985892,-0.0158629195957127,1,229060144,200064832
187.133972008693,10,20,3,0,0,0,0,0,CHO,Protein,188.141248475573,-0.0210866742294235,1,10024284,9836402
188.035326253688,0,0,0,0,0,0,0,0,,None,189.042602720568,0,1,9618083,9689530
188.100942235171,8,16,4,0,1,0,0,0,CHO,Protein,189.108218702051,-0.0257114729367869,0,21914868,17779722
189.019333976645,10,6,4,0,0,0,0,0,CHO,ConHC,190.026610443525,-0.00927514618169853,1,7938925,6269955.5
189.040466145289,7,10,6,0,0,0,0,0,CHO,Tannin,190.047742612169,-0.0239864437413366,1,0,2669406
189.076853460493,8,14,5,0,0,0,0,0,CHO,AminoSugar,190.084129927373,-0.0334981811711089,1,7678901.5,8384716
189.113241950277,9,18,4,0,0,0,0,0,CHO,Protein,190.120518417157,-0.0491843653762554,1,7661795,5667962
190.050977592595,0,0,0,0,0,0,0,0,,None,191.058254059475,0,1,3317392.5,0
190.072092588362,0,0,0,0,0,0,0,0,,None,191.079369055242,0,1,3044395.8,0
191.034986413467,10,8,4,0,0,0,0,0,CHO,Lignin,192.042262880347,-0.0215324844396797,1,12186003,15845543
191.071384417769,11,12,3,0,0,0,0,0,CHO,Lignin,192.078660884649,-0.0865955059285834,1,0,2695446.3
193.014249366013,9,6,5,0,0,0,0,0,CHO,ConHC,194.021525832893,-0.0130387230285497,1,5434604.5,5286266
193.050643855997,10,10,4,0,0,0,0,0,CHO,Lignin,194.057920322877,-0.0593301080207939,1,37947424,52530476
193.087024845987,11,14,3,0,0,0,0,0,CHO,Lignin,194.094301312867,-0.0360503475511038,1,7984207.5,7387484.5
194.053992080592,9,10,4,0,1,0,0,0,CHO,Lignin,195.061268547472,-0.0251217042849829,0,3053821.3,5137798
195.029903814031,9,8,5,0,0,0,0,0,CHO,Lignin,196.037180280911,-0.0352668345562938,1,14320328,14782923
195.066289804117,10,12,4,0,0,0,0,0,CHO,Lignin,196.073566270997,-0.0377276611564457,1,15284987,17823230
195.079352300559,0,0,0,0,0,0,0,0,,None,196.086628767439,0,0,5019661,3725327.5
195.102664294209,11,16,3,0,0,0,0,0,CHO,Lignin,196.109940761089,0.0184529722331904,1,4525869.5,3936943.8
195.139072784293,12,20,2,0,0,0,0,0,CHO,Lipid,196.146349251173,-0.0987271638330997,1,3208544.5,6366050.5
195.81090810163,0,0,0,0,0,0,0,0,,None,196.81818456851,0,0,40401680,16843788
195.812636466607,0,0,0,0,0,0,0,0,,None,196.819912933487,0,0,3563665.3,0
196.033247424632,8,8,5,0,1,0,0,0,CHO,Lignin,197.040523891512,0.0218918836371647,0,2646344,0
196.069626417718,9,12,4,0,1,0,0,0,CHO,Lignin,197.076902884598,0.054936941050096,0,3192955.3,0
196.639575444627,0,0,0,0,0,0,0,0,,None,197.646851911507,0,0,0,4414104
197.009193314734,8,6,6,0,0,0,0,0,CHO,ConHC,198.016469781614,-0.160877595789923,1,0,2477569.3
197.022227273809,0,0,0,0,0,0,0,0,,None,198.029503740689,0,0,2474112.5,6064819.5
197.045546267518,9,10,5,0,0,0,0,0,CHO,Lignin,198.052822734398,0.00351977871229497,1,16110562,15197397
197.081587226282,0,0,0,0,0,0,0,0,,None,198.088863693162,0,0,2528532.8,0
197.0819397577,10,14,4,0,0,0,0,0,CHO,Lignin,198.08921622458,-0.0367853432115427,1,26782230,33198856
197.118318247887,11,18,3,0,0,0,0,0,CHO,Lipid,198.125594714767,-0.00136614100500298,1,3463241.3,5978683.5
197.807941062205,0,0,0,0,0,0,0,0,,None,198.815217529085,0,0,60317216,24185612
198.085289987703,9,14,4,0,1,0,0,0,CHO,Lignin,199.092566454583,-0.0134559644535199,0,2617389.3,3111702
198.985076870797,0,0,0,0,0,0,0,0,,None,199.992353337677,0,0,4623800,0
199.007090614889,8,8,4,0,0,1,0,0,CHOS,Lignin,200.014367081769,-0.188219325670848,1,0,3114934
199.043440859991,9,12,3,0,0,1,0,0,CHOS,Lignin,200.050717326871,-0.0119238321517902,1,4721292,0
199.061189226349,9,12,5,0,0,0,0,0,CHO,Lignin,200.068465693229,0.0389990055425871,1,6506021.5,8708355
199.097348850015,0,0,0,0,0,0,0,0,,None,200.104625316895,0,0,6197593.5,0
199.097591216624,10,16,4,0,0,0,0,0,CHO,Protein,200.104867683504,-0.0433847715516397,1,73915736,67366456
199.133966706907,11,20,3,0,0,0,0,0,CHO,Lipid,200.141243173787,0.00666785733950502,1,4307726,4234475
199.804991527975,0,0,0,0,0,0,0,0,,None,200.812267994855,0,0,28903764,11681321
200.100936949243,9,16,4,0,1,0,0,0,CHO,Protein,201.108213416123,0.00210671267030529,0,8706815,8065231.5
200.836892530627,0,0,0,0,0,0,0,0,,None,201.844168997507,0,0,4479525,0
200.90966095194,0,0,0,0,0,0,0,0,,None,201.91693741882,0,0,0,2972755.3
200.937994227153,0,0,0,0,0,0,0,0,,None,201.945270694033,0,0,2575671.3,2719611.8
201.076842690399,9,14,5,0,0,0,0,0,CHO,AminoSugar,202.084119157279,0.0217860807137732,1,17769600,21686594
201.113238680769,10,18,4,0,0,0,0,0,CHO,Protein,202.120515147649,-0.0300882320342231,1,56461492,68049272
201.149615671145,11,22,3,0,0,0,0,0,CHO,Lipid,202.156892138025,0.0120425051737292,1,2956520.8,3018538
201.80206299882,0,0,0,0,0,0,0,0,,None,202.8093394657,0,0,6789271,2960462
202.11658341594,9,18,4,0,1,0,0,0,CHO,Protein,203.12385988282,0.0197966886886975,0,5425245,8184079
202.828324170905,0,0,0,0,0,0,0,0,,None,203.835600637785,0,0,7986016,0
203.034980174627,11,8,4,0,0,0,0,0,CHO,ConHC,204.042256641507,0.0103100849151375,1,5388681.5,4287019
203.092505659546,9,16,5,0,0,0,0,0,CHO,AminoSugar,204.099782126426,-0.0416576937104455,1,15485917,15118973
203.128877650013,10,20,4,0,0,0,0,0,CHO,Protein,204.136154116893,0.0245596208756871,1,9709585,46118064
204.029512872029,0,0,0,0,0,0,0,0,,None,205.036789338909,0,0,0,2453294.3
204.03022241429,0,0,0,0,0,0,0,0,,None,205.03749888117,0,1,7952161,8830383
204.046753866086,0,0,0,0,0,0,0,0,,None,205.054030332966,0,0,0,2620742.8
204.066612404794,0,0,0,0,0,0,0,0,,None,205.073888871674,0,1,3227989.3,3198306.8
204.132236836621,9,20,4,0,1,0,0,0,CHO,Protein,205.139513303501,0.00324022679086283,0,0,3736127.5
204.791544609587,0,0,0,0,0,0,0,0,,None,205.798821076467,0,0,0,2575714
204.825375816362,0,0,0,0,0,0,0,0,,None,205.832652283242,0,0,9721748,0
204.946471175678,0,0,0,0,0,0,0,0,,None,205.953747642558,0,0,3977793.3,2509372
205.014256158064,10,6,5,0,0,0,0,0,CHO,ConHC,206.021532624944,-0.0452469399689738,1,10158242,10220827
205.050634648614,11,10,4,0,0,0,0,0,CHO,Lignin,206.057911115494,-0.0111914844317148,1,9612502,9155918
205.086995639168,12,14,3,0,0,0,0,0,CHO,Lignin,206.094272106048,0.107764527528504,1,4079498,4275585.5
206.082285166223,0,0,0,0,0,0,0,0,,None,207.089561633103,0,1,0,6563314
206.78947492392,0,0,0,0,0,0,0,0,,None,207.7967513908,0,0,0,3147719.3
206.822414467874,0,0,0,0,0,0,0,0,,None,207.829690934754,0,0,5460391,0
206.943517446933,0,0,0,0,0,0,0,0,,None,207.950793913813,0,0,2731217.5,0
207.012143641396,10,8,3,0,0,1,0,0,CHOS,Lignin,208.019420108276,-0.0254551999118459,1,24399282,29807098
207.029896136826,10,8,5,0,0,0,0,0,CHO,Lignin,208.037172603706,0.00367046733726874,1,17827274,16387603
207.04297083717,0,0,0,0,0,0,0,0,,None,208.05024730405,0,0,0,4747557.5
207.066278627462,11,12,4,0,0,0,0,0,CHO,Lignin,208.073555094342,0.0181630865038438,1,12973566,14388805
207.079343124099,0,0,0,0,0,0,0,0,,None,208.086619590979,0,0,4598800.5,4248663.5
207.102661118098,12,16,3,0,0,0,0,0,CHO,Lignin,208.109937584978,0.0326506391914021,1,3681585,3855607.8
207.139046804306,13,20,2,0,0,0,0,0,CHO,Lipid,208.146323271186,0.0317805935019904,1,0,3233193.8
208.01548188369,9,8,3,0,1,1,0,0,CHOS,Lignin,209.02275835057,0.0540626797351021,0,2772780.5,2656730.3
208.845279171434,0,0,0,0,0,0,0,0,,None,209.852555638314,0,0,9822632,2666173.8
208.934604105709,0,0,0,0,0,0,0,0,,None,209.941880572589,0,0,5119267.5,0
209.045554620322,10,10,5,0,0,0,0,0,CHO,Lignin,210.052831087202,-0.0364465571757604,1,11231420,10693835
209.058607116992,0,0,0,0,0,0,0,0,,None,210.065883583872,0,0,8818894,9859292
209.081939111042,11,14,4,0,0,0,0,0,CHO,Lignin,210.089215577922,-0.03160619906533,1,10688750,11774204
209.085303080117,8,18,4,0,0,1,0,0,CHOS,Protein,210.092579546997,0.000995766288468024,1,24371442,0
209.09500310771,0,0,0,0,0,0,0,0,,None,210.10227957459,0,0,6337791.5,6290445.5
209.118305101766,12,18,3,0,0,0,0,0,CHO,Lipid,210.125581568646,0.0612750408401882,1,3406751.5,3973420.5
209.154711592484,13,22,2,0,0,0,0,0,CHO,Lipid,210.161988059364,-0.0385843510527392,1,4728401.5,3789661.3
210.842305163809,0,0,0,0,0,0,0,0,,None,211.849581630689,0,0,14748221,3611793.8
210.931650769194,0,0,0,0,0,0,0,0,,None,211.938927236074,0,0,2651956.3,0
211.024819617637,9,8,6,0,0,0,0,0,CHO,Tannin,212.032096084517,-0.0381787347391969,1,40359728,39284480
211.05565660984,0,0,0,0,0,0,0,0,,None,212.06293307672,0,0,2992729.5,4697638.5
211.061204608437,10,12,5,0,0,0,0,0,CHO,Lignin,212.068481075317,-0.0357413658891973,1,10559329,12903214
211.09758359924,11,16,4,0,0,0,0,0,CHO,Lignin,212.10486006612,-0.00501695353076679,1,20672402,19695452
211.133966590044,12,20,3,0,0,0,0,0,CHO,Lipid,212.141243056924,0.00684155666176543,1,13324225,14401420
212.028186864471,8,8,6,0,1,0,0,0,CHO,Tannin,213.035463331351,-0.0962475932674847,0,3523931.5,3219973.3
212.839363452954,0,0,0,0,0,0,0,0,,None,213.846639919834,0,0,7491190,0
212.979191125529,0,0,0,0,0,0,0,0,,None,213.986467592409,0,0,3201193.3,2575278.5
213.015306616474,0,0,0,0,0,0,0,0,,None,214.022583083354,0,1,7424855.5,9399003
213.076852601046,10,14,5,0,0,0,0,0,CHO,Lignin,214.084129067926,-0.0257283263251746,1,20179366,23187752
213.113237591928,11,18,4,0,0,0,0,0,CHO,Protein,214.120514058808,-0.0233168139205157,1,23856596,23745876
213.149612082814,12,22,3,0,0,0,0,0,CHO,Lipid,214.156888549694,0.0281233373249731,1,3188227.3,4921985.5
213.904874509277,0,0,0,0,0,0,0,0,,None,214.912150976157,0,0,0,2611357.3
214.08022085011,9,14,5,0,1,0,0,0,CHO,Lignin,215.08749731699,-0.0879609027110181,0,2863513.5,2654193
214.11660324401,10,18,4,0,1,0,0,0,CHO,Protein,215.12387971089,-0.0734780830681437,0,3320262.8,0
215.01164613735,0,0,0,0,0,0,0,0,,None,216.01892260423,0,0,0,2519492.8
215.032791612867,0,0,0,0,0,0,0,0,,None,216.040068079747,0,0,8223023.5,18084446
215.034940129532,12,8,4,0,0,0,0,0,CHO,ConHC,216.042216596412,0.195095145649689,1,0,3033568
215.056105607072,9,12,6,0,0,0,0,0,CHO,Tannin,216.063382073952,0.0279725682008135,1,3244876,5787001
215.092497598028,10,16,5,0,0,0,0,0,CHO,Protein,216.099774064908,-0.00203983716192855,1,44999544,58188452
215.128880088988,11,20,4,0,0,0,0,0,CHO,Protein,216.136156555868,0.0119116199237705,1,48325540,54784720
215.165276074094,12,24,3,0,0,0,0,0,CHO,Lipid,216.172552540974,-0.0365646531855006,1,3124176.8,0
216.095864849222,9,16,5,0,1,0,0,0,CHO,Protein,217.103141316102,-0.0592078111861924,0,3933738.5,5825319
