mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
2635,C19H27O4Cl,HCOCl,19,27,4,0,1,354.159787,353.15251053312,2,5.7,0.350877192982456,2,0,0,0,1.51609272323549,0.920069556584225,0.794501185417175,1.20549879968166,1.60223690175917,0.752384867904422,0.498691691309237
2676,C17H21O6Cl,HCOCl,17,21,6,0,1,356.1026661,355.09538963312,2,5.6,0.357142857142857,2,0,0,0,0.532854811288416,0.357846292221774,0.319957792758942,1.18386739492416,1.57244611624628,0.752882647419596,0.0740228107089239
2679,C18H25O5Cl,HCOCl,18,25,5,0,1,356.1390516,355.13177513312,2,5.7,0.350877192982456,2,0,0,0,0.992213495541364,0.686578719748272,0.604238748550415,1.19468310475349,1.58743781084195,0.752585768459085,0.0895168325131544
2682,C19H29O4Cl,HCOCl,19,29,4,0,1,356.1754371,355.16816063312,2,5.8,0.344827586206897,2,0,0,0,0.777017300948501,0.504867812477857,0.384908258914948,1.20549879968166,1.60246692772489,0.752276866888714,0.200736998774893
2816,C16H23O7Cl,HCOCl,16,23,7,0,1,362.1132308,361.10595433312,2,5.6,0.357142857142857,2,0,0,0,1.07977623492479,0.646350490421898,0.531397521495819,1.00460257800296,1.55747272958979,0.645020974632123,-0.333839999741168
2920,C20H27O4Cl,HCOCl,20,27,4,0,1,366.159787,365.15251053312,2,5.7,0.350877192982456,2,0,0,0,1.82950067427009,1.06923883163083,0.783685386180878,1.21631459891796,1.61722442356404,0.752100067990222,0.530876539272145
2964,C18H21O6Cl,HCOCl,18,21,6,0,1,368.1026661,367.09538963312,2,5.7,0.350877192982456,2,0,0,0,1.688260324765,0.999907590786331,0.805316925048828,1.19468310475349,1.58735868381336,0.752623283531274,-0.032563142560164
2967,C19H25O5Cl,HCOCl,19,25,5,0,1,368.1390516,367.13177513312,2,5.7,0.350877192982456,2,0,0,0,1.70179480873048,1.00169078398123,0.794501185417175,1.20549879968166,1.60238780081272,0.752314014791077,0.30384678173052
2970,C20H29O4Cl,HCOCl,20,29,4,0,1,368.1754371,367.16816063312,2,5.8,0.344827586206897,2,0,0,0,1.19361567404121,0.849448580757444,0.783685386180878,1.21631459891796,1.61745444952976,0.7519931082273,-0.0761031204651403
3016,C18H23O6Cl,HCOCl,18,23,6,0,1,370.1183161,369.11103963312,3,5.7,0.526315789473684,3,0,0,0,0.681779303122312,0.533229641188223,0.521437525749207,1.51464089751244,1.61781660933048,0.936225335292646,0.149973347064219
