Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,test_peaks
557.275716704656,31,42,9,0,0,0,0,0,CHO,Lignin,558.282993171536,-0.197434701023846,-1,7753497.5
557.288515709162,28,47,9,0,0,0,1,0,CHOP,Protein,558.295792176041,-0.0404058954361151,-1,3997469.5
557.315271718581,0,0,0,0,0,0,0,0,,None,558.322548185461,0,-1,5630758
558.089142991342,0,0,0,0,0,0,0,0,,None,559.096419458222,0,-1,3328023.5
558.097146994166,0,0,0,0,0,0,0,0,,None,559.104423461046,0,-1,4095002
558.110331998819,25,28,6,2,1,1,2,0,CHONSP,Lignin,559.117608465699,0.137223188490211,-1,6486046
558.118343001646,22,26,16,0,1,0,0,0,CHO,Tannin,559.125619468526,-0.321649589524888,-1,8038432.5
558.125560004193,26,25,13,1,0,0,0,0,CHON,Lignin,559.132836471073,-0.440997303142129,-1,7479331
558.133560007016,26,26,13,0,1,0,0,0,CHO,Lignin,559.140836473896,-0.251661454678651,-1,16474149
558.146660011639,26,32,5,2,1,1,2,0,CHONSP,Lignin,559.153936478519,0.240036547603953,-1,14250025
558.154531014417,23,30,15,0,1,0,0,0,CHO,Lignin,559.161807481297,0.0315668959968766,-1,16535596
558.161838016996,27,29,12,1,0,0,0,0,CHON,Lignin,559.169114483876,-0.248730791290909,-1,9508910
558.169906019844,27,30,12,0,1,0,0,0,CHO,Lignin,559.177182486724,-0.181017264583028,-1,23187504
558.182977024458,24,35,12,0,1,0,1,0,CHOP,Lignin,559.190253491337,-0.510657751364365,-1,14663733
558.1910290273,24,34,14,0,1,0,0,0,CHO,Lignin,559.19830549418,-0.169627802313703,-1,11178039
558.198525029946,31,34,3,3,0,1,1,0,CHONSP,UnsatHC,559.205801496826,0.0852574748144033,-1,7290937.5
558.206258032675,28,34,11,0,1,0,0,0,CHO,Lignin,559.213534499555,-0.121111616646541,-1,19480636
558.219489037346,28,40,3,2,1,1,2,0,CHONSP,UnsatHC,559.226765504226,0.13626721564749,-1,7067712
558.227412040143,25,38,13,0,1,0,0,0,CHO,Lignin,559.234688507023,-0.165158071351299,-1,4311106.5
558.234466042633,29,37,10,1,0,0,0,0,CHON,Lignin,559.241742509513,0.00698157347034516,-1,3040836.8
558.242731045551,29,38,10,0,1,0,0,0,CHO,Lignin,559.250007512431,-0.277575017429662,-1,9850951
