8875	8	3	0.001																																																															
id	mf	name	m_mj0	p_mj0	m_mj1	p_mj1	m_mj2	p_mj2	m_mj3	p_mj3	m_mj4	p_mj4	m_mj5	p_mj5	m_mj6	p_mj6	m_mj7	p_mj7	m_mn0_0	p_mn0_0	m_mn0_1	p_mn0_1	m_mn0_2	p_mn0_2	m_mn1_0	p_mn1_0	m_mn1_1	p_mn1_1	m_mn1_2	p_mn1_2	m_mn2_0	p_mn2_0	m_mn2_1	p_mn2_1	m_mn2_2	p_mn2_2	m_mn3_0	p_mn3_0	m_mn3_1	p_mn3_1	m_mn3_2	p_mn3_2	m_mn4_0	p_mn4_0	m_mn4_1	p_mn4_1	m_mn4_2	p_mn4_2	m_mn5_0	p_mn5_0	m_mn5_1	p_mn5_1	m_mn5_2	p_mn5_2	m_mn6_0	p_mn6_0	m_mn6_1	p_mn6_1	m_mn6_2	p_mn6_2	m_mn7_0	p_mn7_0	m_mn7_1	p_mn7_1	m_mn7_2	p_mn7_2
21	CH2OCl2		99.94827004	1	100.9516249	0.01081573	101.94532	0.6399155	102.9486748	0.006921153	103.9423699	0.102373	104.9457247	0.001107238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.9525164	0.002054994	0	0	0	0	0	0	0	0	0	0	103.9495663	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	CH4OCl2		101.9639201	1	102.9672749	0.01081573	103.96097	0.6399155	104.9643249	0.006921153	105.9580199	0.102373	106.9613748	0.001107238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.9681665	0.002054994	0	0	0	0	0	0	0	0	0	0	105.9652164	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	C4H3OCl		101.9872424	1	102.9905972	0.04326291	103.9842923	0.3199578	104.9876471	0.01384231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.9914888	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	C3HO2Cl		103.966507	1	104.9698618	0.03244719	105.9635569	0.3199578	106.9669117	0.01038173	107.9678032	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.9707533	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	C4H5OCl		104.0028925	1	105.0062473	0.04326291	105.9999424	0.3199578	107.0032972	0.01384231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.0071388	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	C3H3O2Cl		105.982157	1	106.9855119	0.03244719	107.9792069	0.3199578	108.9825618	0.01038173	109.9834533	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.9864034	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	C4H7OCl		106.0185425	1	107.0218974	0.04326291	108.0155924	0.3199578	109.0189473	0.01384231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.0227889	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	C2HO3Cl		107.9614216	1	108.9647764	0.02163146	109.9584715	0.3199578	110.9618263	0.006921153	111.9627179	0.001972534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.9656387	0.001142777	0	0	0	0	109.965668	0.006164981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	C3H5O2Cl		107.9978071	1	109.0011619	0.03244719	109.994857	0.3199578	110.9982118	0.01038173	111.9991034	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.0020535	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	C4H9OCl		108.0341926	1	109.0375474	0.04326291	110.0312425	0.3199578	111.0345973	0.01384231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.0404693	0.001035119	0	0	0	0	110.038439	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
