ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
726,299.128903376275,1973994.8,10.58,0.000296728219256764,1474,C12H23O6Cl,299.121671,299.12894746688,0.1297887,1,-1,-0.147396650948941
730,299.157265747319,7204849.5,45.01,0.001083023198515,1476,C14H28O2Cl2,299.1499903,299.15726676688,0.1514202,1,-1,-0.00340810913514466
753,302.148049085963,1455850.3,7.17,0.000218841441235522,1476,C14H28O2Cl2,302.1407353,302.14801176688,0.102373,4,-1,0.123512586824226
771,304.06946433887,2404072.3,13.17,0.000361376885361356,1503,C15H18O2Cl2,304.062485,304.06976146688,0.102373,4,-1,-0.977170530674548
772,304.087604664729,2831085.3,15.93,0.000425564899985046,1504,C14H17O5Cl,304.0802109,304.08748736688,0.003406007,4,-1,0.385737175667975
750,302.090156481841,2721499.3,15.5,0.000409092081193694,1504,C14H17O5Cl,302.083161,302.09043746688,0.01064518,2,2,-0.930135497721287
741,301.108167825984,3901917.3,23.27,0.000586530912906235,1506,C11H21O7Cl,301.1009355,301.10821196688,0.118973,1,-1,-0.146594793062758
733,300.135573796056,1600998.1,8.13,0.000240659861538877,1510,C19H21OCl,300.128093,300.13536946688,1,0,-1,0.680790060039319
745,301.144553330302,3242982.5,18.93,0.000487480728067697,1511,C12H25O6Cl,301.137321,301.14459746688,0.1297887,1,-1,-0.146562742275358
753,302.148049085963,1455850.3,7.17,0.000218841441235522,1511,C12H25O6Cl,302.1406759,302.14795236688,0.007720679,2,2,0.320105040518382
783,306.10649078617,1614487.4,8.06,0.00024268755480738,1545,C12H24O4Cl2,306.0992644,306.10654086688,0.102373,4,-1,-0.163605487901511
751,302.11491874024,1843425.6,9.72,0.000277101234319529,1546,C18H19O2Cl,302.1073575,302.11463396688,1,0,-1,0.942600351196609
779,305.133941874666,2077706,11.06,0.000312317946085316,1583,C18H21O2Cl,305.1263624,305.13363886688,0.1946831,1,-1,0.993033042271521
816,310.948404101126,2118676.5,11.31,0.000318476576040703,1636,C11H7O4Cl3,310.9413965,310.94867296688,0.114199,3,-1,-0.864662810985014
817,311.052835095632,1921716.1,10.04,0.000288869756024714,1655,C15H13O5Cl,311.0455559,311.05283236688,0.05190864,3,-1,0.0087726304655089
812,310.101275235292,2141079,11.46,0.000321844089436331,1663,C20H17OCl,310.0938428,310.10111926688,0.3199578,2,-1,0.502959848983811
851,314.071908667247,1989464.6,10.28,0.000299053618597359,1696,C15H15O5Cl,314.0645608,314.07183726688,0.003930009,4,-1,0.227337692908524
852,314.090223066507,1539166.5,7.42,0.000231365419343894,1699,C12H19O7Cl,314.0832269,314.09050336688,0.004602578,4,-1,-0.89241912883564
852,314.090223066507,1539166.5,7.42,0.000231365419343894,1700,C17H20OCl2,314.0832204,314.09049686688,0.102373,4,-1,-0.871724474754401
831,312.116949920336,1777400,8.94,0.000267176355736587,1702,C20H19OCl,312.1094928,312.11676926688,0.3199578,2,-1,0.578800864254473
837,313.064011131707,1496604.6,7.15,0.000224967572300333,1730,C12H18O5Cl2,313.0564839,313.06376036688,0.1297887,1,-1,0.801002411299326
874,316.069489537107,2561753,13.91,0.000385079234183227,1732,C16H18O2Cl2,316.062485,316.06976146688,0.102373,4,-1,-0.860347323641349
876,316.087777550921,1884383,9.61,0.000283257895100696,1733,C15H17O5Cl,316.0802109,316.08748736688,0.003930009,4,-1,0.91804975685113
852,314.090223066507,1539166.5,7.42,0.000231365419343894,1733,C15H17O5Cl,314.083161,314.09043746688,0.0122829,2,2,-0.682607134231571
875,316.082873547217,1563101.4,7.57,0.000234963281027769,1734,C14H23OCl3,316.0755482,316.08282466688,0.3071189,4,-1,0.15464407651071
869,315.154537025368,2775473.5,15.27,0.000417205409684634,1777,C20H23OCl,315.1470979,315.15437436688,0.2163146,1,-1,0.516123211974118
880,316.148162596535,1563122.6,7.57,0.000234966467782997,1777,C20H23OCl,316.1407929,316.14806936688,0.3199578,2,-1,0.294892374083676
877,316.093743555428,1675488.9,8.28,0.000251857217496963,1809,C18H17O3Cl,316.0866221,316.09389856688,1,0,-1,-0.490396851000085
899,318.098237376117,2189174.5,11.54,0.000329073739721764,1809,C18H17O3Cl,318.0908685,318.09814496688,0.006164981,2,1,0.290505425549375
918,320.122070309479,3635749.8,20.32,0.000546520975545191,1812,C13H26O4Cl2,320.1149145,320.12219096688,0.102373,4,-1,-0.376910456789552
902,318.13462500478,2176386.8,11.46,0.000327151510013059,1812,C13H26O4Cl2,318.1275243,318.13480076688,0.009124438,2,2,-0.552476810963924
879,316.130563583241,1561836.9,7.56,0.000234773203103931,1813,C19H21O2Cl,316.1230076,316.13028406688,1,0,-1,0.884180905312509
901,318.127541077072,2806144.5,15.45,0.000421815832778365,1813,C19H21O2Cl,318.1200575,318.12733396688,0.3199578,2,-1,0.651029224857839
902,318.13462500478,2176386.8,11.46,0.000327151510013059,1813,C19H21O2Cl,318.127254,318.13453046688,0.004109987,2,1,0.297163277711411
935,322.101297823657,2806488.8,15.16,0.000421867587487086,1888,C21H17OCl,322.0938428,322.10111926688,0.3199578,2,-1,0.554350067125114
924,321.128873231532,1831810.9,9.09,0.000275355328378844,1890,C18H21O3Cl,321.121277,321.12855346688,0.1946831,1,-1,0.995752788032007
936,322.129758553966,1943010.8,9.78,0.000292070746427833,1890,C18H21O3Cl,322.1221686,322.12944506688,0.006164981,2,1,0.973171159362678
953,324.116954444352,3082667.5,16.87,0.000463382394845062,1928,C21H19OCl,324.1094928,324.11676926688,0.3199578,2,-1,0.57132950195486
959,325.107986732227,1743893.9,8.53,0.000262139764258616,1969,C13H21O7Cl,325.1009355,325.10821196688,0.1406045,1,-1,-0.692799027904906
954,324.120112469041,1507244.5,7.06,0.000226566947628004,1971,C17H21O4Cl,324.1128368,324.12011326688,1,0,-1,-0.00246155277955068
960,325.12375734736,5611291.5,32.61,0.000843481722710523,1971,C17H21O4Cl,325.1161917,325.12346816688,0.1838674,1,-1,0.889448187791427
970,326.124576192679,1514894.5,7.1,0.000227716885245526,1971,C17H21O4Cl,326.1170832,326.12435966688,0.008219974,2,1,0.663936293850793
971,326.132729122095,2152593.5,11.07,0.000323574933449006,1973,C21H21OCl,326.1251429,326.13241936688,0.3199578,2,-1,0.949783573632675
962,325.144410261916,1567011.3,7.43,0.000235551011889305,1974,C14H25O6Cl,325.137321,325.14459746688,0.1514202,1,-1,-0.575759109796974
993,328.958915497484,4827331,27.18,0.000725637844331187,1990,C11H9O5Cl3,328.9519612,328.95923766688,0.114199,3,-1,-0.979359627255662
1008,330.085084006822,1726841.4,8.25,0.00025957645560204,2011,C17H20O2Cl2,330.0781351,330.08541156688,0.102373,4,-1,-0.992349394609723
1010,330.103252754092,2108800.5,10.58,0.000316992029124278,2012,C16H19O5Cl,330.095861,330.10313746688,0.004491438,4,-1,0.349246034946468
985,327.188579039651,12695070,76.71,0.00190830569282146,2019,C16H32O2Cl2,327.1812905,327.18856696688,0.1730517,1,-1,0.0368985123202607
991,328.191888797884,3198875.8,17.24,0.000480850668784718,2019,C16H32O2Cl2,328.1846453,328.19192176688,0.0140376,2,2,-0.100456451660742
1034,332.077602074878,2441616.3,12.61,0.000367020448487143,2052,C14H23O2Cl3,332.0704628,332.07773926688,0.3071189,4,-1,-0.413132183421446
1040,332.121965383361,2956706,15.75,0.000444448033118319,2056,C14H26O4Cl2,332.1149145,332.12219096688,0.102373,4,-1,-0.679218449117407
1013,330.134687316833,2006668.9,9.96,0.000301639745623914,2056,C14H26O4Cl2,330.1275243,330.13480076688,0.01064518,2,2,-0.343647645458655
1012,330.127583415649,1611914.1,7.55,0.000242300739843828,2057,C20H21O2Cl,330.1200575,330.12733396688,0.3199578,2,-1,0.755613799806867
1013,330.134687316833,2006668.9,9.96,0.000301639745623914,2057,C20H21O2Cl,330.127254,330.13453046688,0.004109987,2,1,0.475109201154234
1036,332.085723131349,2191763.5,11.08,0.000329462914688008,2091,C22H15OCl,332.0781927,332.08546916688,0.3199578,2,-1,0.764756341685877
1060,334.093217047341,5399748,30.66,0.000811682790894521,2093,C14H25O2Cl3,334.0861129,334.09338936688,0.3071189,4,-1,-0.515782545381021
1011,330.109558666376,1736323.1,8.31,0.000261001731877604,2094,C19H19O3Cl,330.1022721,330.10954856688,1,0,-1,0.0305943766146749
1039,332.113885327175,3440543,18.71,0.000517177754301239,2094,C19H19O3Cl,332.1065185,332.11379496688,0.006164981,2,1,0.272076308912771
1029,331.149570420624,2963997.5,15.8,0.000445544081502393,2097,C20H23O2Cl,331.1420125,331.14928896688,0.2163146,1,-1,0.849930086824588
1042,332.143278531562,3113386.8,16.71,0.000468000078329241,2097,C20H23O2Cl,332.1357076,332.14298406688,0.3199578,2,-1,0.886559995612826
1043,332.150393581037,1845677.6,8.97,0.000277439751903145,2097,C20H23O2Cl,332.142904,332.15018046688,0.004109987,2,1,0.641619875267871
1038,332.104300260525,1738651,8.32,0.000261351658646209,2139,C22H17OCl,332.0967928,332.10406926688,1,0,-1,0.695545965021304
1061,334.101302094787,4552903.5,25.49,0.000684386274980505,2139,C22H17OCl,334.0938428,334.10111926688,0.3199578,2,-1,0.547223270343213
1080,336.080544366488,1635583.6,7.68,0.0002458587069599,2180,C21H15O2Cl,336.0731073,336.08038376688,0.3199578,2,-1,0.477860702063571
1071,335.09251581257,1771105.8,8.51,0.00026623022013499,2181,C14H19O7Cl,335.0852855,335.09256196688,0.1514202,1,-1,-0.137736002255501
1062,334.104496113531,1907400.6,9.34,0.000286717869493518,2183,C18H19O4Cl,334.0971868,334.10446326688,1,0,-1,0.0983125172577754
1083,336.108863656704,6544395.5,37.64,0.000983744649594304,2183,C18H19O4Cl,336.1014331,336.10870956688,0.008219974,2,1,0.458452338086586
1084,336.116987453092,6176783,35.4,0.000928485637513053,2185,C22H19OCl,336.1094928,336.11676926688,0.3199578,2,-1,0.649138132645669
1106,338.096255340507,4055898.8,21.99,0.00060967720300461,2230,C21H17O2Cl,338.0887574,338.09603386688,0.3199578,2,-1,0.655061298759495
1093,337.108000832599,1610931,7.37,0.000242152961586078,2231,C14H21O7Cl,337.1009355,337.10821196688,0.1514202,1,-1,-0.626310109946749
1085,336.120145373943,1920784.3,9.42,0.00028872968911334,2233,C18H21O4Cl,336.1128368,336.12011326688,1,0,-1,0.0955225877697183
1095,337.123654997332,2195641.8,10.87,0.000330045895480432,2233,C18H21O4Cl,337.1161917,337.12346816688,0.1946831,1,-1,0.554189991398008
1108,338.12453275851,5690215,31.77,0.000855345396116609,2233,C18H21O4Cl,338.1170832,338.12435966688,0.008219974,2,1,0.51191706478606
1109,338.132533876784,5887850.5,32.95,0.000885053696248362,2235,C22H21OCl,338.1251429,338.13241936688,0.3199578,2,-1,0.33865402227699
1148,342.085146558059,1679418.4,7.77,0.000252447894603898,2272,C13H19O8Cl,342.0781415,342.08541796688,0.005260089,4,-1,-0.793394884426098
1116,339.090229371098,1820937.9,8.62,0.000273720913775533,2272,C13H19O8Cl,339.083122,339.09039846688,0.002185251,1,2,-0.498674639998902
1148,342.085146558059,1679418.4,7.77,0.000252447894603898,2273,C18H20O2Cl2,342.0781351,342.08541156688,0.102373,4,-1,-0.77468612128152
1128,340.111872383932,3522762,18.8,0.000529536802794716,2276,C21H19O2Cl,340.1044074,340.11168386688,0.3199578,2,-1,0.554279847830799
1119,339.123873566455,2680600.5,13.76,0.000402944229084996,2277,C14H23O7Cl,339.1165856,339.12386206688,0.1514202,1,-1,0.0339096609421966
1110,338.135817925329,1594475.9,7.27,0.000239679453286719,2279,C18H23O4Cl,338.1284869,338.13576336688,1,0,-1,0.16135072169136
1129,340.14026523433,2081494.6,10.18,0.000312887443295479,2279,C18H23O4Cl,340.1327333,340.14000976688,0.008219974,2,1,0.751065569124213
1130,340.148279192104,3720922.3,19.98,0.000559323990150218,2281,C22H23OCl,340.1407929,340.14806936688,0.3199578,2,-1,0.616864369413525
1181,344.971606355201,5122917,28.36,0.000770069930685837,2298,C12H11O5Cl3,344.9646611,344.97193756688,0.03986058,5,-1,-0.96011194820654
1182,344.979083354855,3338600.5,17.68,0.000501853896056231,2298,C12H11O5Cl3,344.9718576,344.97913406688,0.001280063,5,2,-0.147000266625259
1174,344.082073920307,1620168.9,7.41,0.000243541590176524,2314,C16H17O6Cl,344.0751255,344.08240196688,0.004491438,4,-1,-0.953395382239219
1148,342.085146558059,1679418.4,7.77,0.000252447894603898,2314,C16H17O6Cl,342.0780756,342.08535206688,0.0140376,2,2,-0.600753055843365
1173,344.077634926085,1848262.9,8.77,0.00027782837069041,2315,C15H23O2Cl3,344.0704628,344.07773926688,0.3071189,4,-1,-0.30324773576627
1175,344.10076389598,2373585.5,11.91,0.000356794150961631,2317,C18H22O2Cl2,344.0937851,344.10106156688,0.102373,4,-1,-0.865068241199548
1177,344.122062868257,2541019.3,12.92,0.000381962572538726,2319,C15H26O4Cl2,344.1149145,344.12219096688,0.102373,4,-1,-0.372247493228474
1164,343.13174031276,1796117.1,8.46,0.00026998988480599,2319,C15H26O4Cl2,343.1241413,343.13141776688,0.001913567,3,1,0.940006839686913
1150,342.127571665172,3141709.5,16.51,0.000472257508154053,2320,C21H21O2Cl,342.1200575,342.12733396688,0.3199578,2,-1,0.694765570040974
1151,342.163954757031,1720925.9,8.02,0.000258687245670477,2322,C22H25OCl,342.156443,342.16371946688,0.3199578,2,-1,0.687653708355208
1172,343.974131060807,2105495.3,10.31,0.000316495195946051,2336,C14H8O6Cl2,343.9668432,343.97411966688,0.6399155,2,-1,0.0331243734457337
1202,346.098204948516,1679732.5,7.76,0.000252495109689606,2360,C16H19O6Cl,346.0907756,346.09805206688,0.004491438,4,-1,0.441729260033247
1175,344.10076389598,2373585.5,11.91,0.000356794150961631,2360,C16H19O6Cl,344.0937257,344.10100216688,0.0140376,2,2,-0.692444656151221
1201,346.093204900392,4529522,24.8,0.000680871599633563,2361,C15H25O2Cl3,346.0861129,346.09338936688,0.3071189,4,-1,-0.532996275632097
1203,346.101273978055,3651446,19.55,0.00054888040702652,2362,C14H24O5Cl2,346.094179,346.10145546688,0.102373,4,-1,-0.524380415699564
1176,344.113897878885,3449303.5,18.35,0.000518494620771606,2362,C14H24O5Cl2,344.1067889,344.11406536688,0.01064518,2,2,-0.486722317842563
