mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
4281,C23H27O5Cl,HCOCl,23,27,5,0,1,418.1547016,418.16197806688,2.1,5.7,0.368421052631579,2,1,0,0,1.72807957883924,0.990346212842277,0.691384315490723,1.24876169860363,1.66279218858108,0.751002865649281,-0.450430296136079
4420,C24H18O3Cl2,HCOCl,24,18,3,0,2,424.0632998,424.07057626688,2,8.1,0.246913580246914,2,0,0,0,0.97941367328167,0.489488894557375,0.360084474086761,1.63991552591324,2.23630416579545,0.73331506107083,0.817711021645624
4472,C24H20O3Cl2,HCOCl,24,20,3,0,2,426.0789499,426.08622636688,2,8.1,0.246913580246914,2,0,0,0,1.57782004773617,0.819246181708658,0.659798383712769,1.63991552591324,2.23630416579545,0.73331506107083,0.46189971577236
4531,C24H25O5Cl,HCOCl,24,25,5,0,1,428.1390516,428.14632806688,3.1,5.7,0.543859649122807,3,1,0,0,1.8930147793144,1.06555980036721,0.699823677539825,1.5898102754727,1.72026084084064,0.924168148067481,0.282173164496872
4571,C22H19O7Cl,HCOCl,22,19,7,0,1,430.0819306,430.08920706688,2.1,6.7,0.313432835820896,2,1,0,0,1.98451765300706,1.16441369408912,0.816632032394409,1.23794600367546,1.64862938784063,0.750894053451831,-0.0740490863189503
4577,C23H23O6Cl,HCOCl,23,23,6,0,1,430.1183161,430.12559256688,2.2,5.7,0.385964912280702,2,2,0,0,1.9465654110536,1.13641313368044,0.786306619644165,1.24876169860363,1.66271306155249,0.751038605204464,0.581645651586525
4584,C24H27O5Cl,HCOCl,24,27,5,0,1,430.1547016,430.16197806688,3.1,5.7,0.543859649122807,3,1,0,0,1.34833415411413,0.896601269569322,0.740422487258911,1.5898102754727,1.72049086680636,0.924044588753771,0.318982526356266
4628,C22H21O7Cl,HCOCl,22,21,7,0,1,432.0975807,432.10485716688,2.1,6.7,0.313432835820896,2,1,0,0,1.9226726484485,1.12190364630349,0.761532068252563,1.23794600367546,1.64885941473767,0.750789298717995,0.28765053833261
4635,C23H25O6Cl,HCOCl,23,25,6,0,1,432.1339662,432.14124266688,2.2,5.7,0.385964912280702,2,2,0,0,1.82775737997144,1.05713483955141,0.743494391441345,1.24876169860363,1.66294308868237,0.75093471755133,0.153501470112048
4893,C23H19O7Cl,HCOCl,23,19,7,0,1,442.0819306,442.08920706688,3.1,6.7,0.462686567164179,3,1,0,0,1.66509454546031,1.10147784627645,0.801227629184723,1.58310445118695,1.70775976858567,0.927006526508142,0.38682696843923
4900,C24H23O6Cl,HCOCl,24,23,6,0,1,442.1183161,442.12559256688,3.1,6.7,0.462686567164179,3,1,0,0,2.24776557495352,1.24692123898053,0.739871740341187,1.59186526574194,1.72349078103434,0.923628535330253,0.568786272040291
4948,C23H21O7Cl,HCOCl,23,21,7,0,1,444.0975807,444.10485716688,3.2,6.7,0.477611940298508,3,2,0,0,1.88707554934081,1.15103017692864,0.844851136207581,1.61270038131624,1.70798979548272,0.9442096115454,0.172481022727828
4951,C20H32O2Cl4,HCOCl,20,32,2,0,4,444.115641,444.12291746688,2,9.1,0.21978021978022,2,0,0,0,3.11198402196169,1.4318678976781,1,0.803497875109315,2.8749574739486,0.279481655777591,-0.319405014119411
4954,C24H25O6Cl,HCOCl,24,25,6,0,1,444.1339662,444.14124266688,3.1,6.7,0.462686567164179,3,1,0,0,1.55085510422941,1.01935583894441,0.740422487258911,1.59186526574194,1.72372080816422,0.923505278930467,-0.0927968280928309
4960,C25H29O5Cl,HCOCl,25,29,5,0,1,444.1703517,444.17762816688,3.1,5.8,0.53448275862069,3,1,0,0,1.58109948877245,0.942233958849988,0.729606807231903,1.60062595549971,1.73870296869427,0.920586198056443,0.038203222397075
5006,C22H19O8Cl,HCOCl,22,19,8,0,1,446.0768452,446.08412166688,2.1,6.7,0.313432835820896,2,1,0,0,1.9490939467214,1.13974285342717,0.781051874160767,1.23794600367546,1.64916676585563,0.750649375979382,0.153498879149206
5020,C24H27O6Cl,HCOCl,24,27,6,0,1,446.1496163,446.15689276688,2.2,6.7,0.328358208955224,2,2,0,0,1.45973721554037,0.811740861809194,0.56233423948288,1.26186306681484,1.67933440499473,0.751406666273116,-0.319428524727254
5264,C24H21O7Cl,HCOCl,24,21,7,0,1,456.0975807,456.10485716688,3.1,6.7,0.462686567164179,3,1,0,0,2.08033144590445,1.16759079256902,0.75036233663559,1.59392026532441,1.72586735454388,0.923547375253333,0.688129713145318
