mOz	abs_abu	sn	resolution	rel_abu
239.019719	1749904.1	9.6	483845.6	0.0030593680634206
239.056121	13633689	91.72	446833.9	0.0238358620413592
239.059481	4969113.5	31.85	441069.2	0.00868753158839514
239.092506	10268833	68.47	451970.7	0.0179530636729176
239.095927	1569698.1	8.36	379517.3	0.00274431280911451
239.128878	2837674	17.12	423987.4	0.00496112284667428
239.336492	1412955.6	7.27	376315.2	0.00247027893566927
240.051383	2250633.5	13.06	499067.3	0.00393479634247644
240.059449	1489803.6	7.8	523005.3	0.00260463276508069
240.087743	3458450.5	21.4	462596.8	0.00604643020644446
241.017635	1493628.5	7.83	546525.3	0.002611319861194
241.035389	8575617	56.76	452224	0.0149928037621758
241.04663	2042244	11.62	422888.8	0.00357046770238
241.071733	74187400	510.15	435147.5	0.129702286124257
241.075384	1420683.4	7.32	527517.3	0.00248378949577397
241.108115	13101716	88.04	425234.8	0.0229058103849272
241.144544	2001309.1	11.33	476570.3	0.00349890096581466
242.067017	8856462	58.7	439323.1	0.0154838067970114
242.075127	8011664.5	52.86	432277	0.0140068421498873
242.103381	2684312	16.05	493082.2	0.00469299912209857
242.111524	1948314	10.97	408282.5	0.00340624930767077
242.129879	1377055	7.02	368538.6	0.00240751369664981
242.996848	1700489	9.25	426310.3	0.00297297534121901
243.051016	52536472	360.54	429418.8	0.0918498360004932
243.070312	1432733.1	7.4	490061.1	0.00250485606013815
243.087354	115180704	793.42	432539.8	0.201371130760767
243.091183	1840802.8	10.22	441181.8	0.0032182868177606
243.123774	7878828	51.95	427282.5	0.013774603282765
244.054386	6132143	39.56	432720.6	0.0107208631916047
244.082651	8428983	55.31	441379.1	0.0147364426412368
244.090754	11603385	77.08	412315.4	0.020286269114161
245.012571	2172097.8	12.41	386455.2	0.00379749189681089
245.030289	4110534.8	25.7	438336.8	0.00718647318484424
245.048926	3514572.3	21.61	419604.3	0.0061445482933623
245.059014	1508047.1	7.86	409113.5	0.00263652798794749
245.066663	107136720	732.12	430697.1	0.187307784230939
245.091618	1589464.6	8.41	486292.9	0.00277887070221597
245.103058	52225756	355.61	424053.8	0.0913066093132743
245.139417	2131174.5	12.13	378886.3	0.00372594544059664
246.06196	3362806.8	20.57	445764.4	0.00587921573952174
246.070041	10807289	71.62	429441.6	0.0188944495979847
246.098285	2888705.5	17.32	390013.2	0.005050341530903
246.106408	6105092	39.38	445844.9	0.0106735697625056
247.028165	3110682.5	18.84	451605.4	0.00543842528052901
247.045927	18970912	127.59	418013.4	0.0331669617247955
247.064572	13783334	92.02	421611.9	0.0240974873120529
247.074306	1468200.6	7.58	562811.6	0.00256686410777309
247.082331	30853420	209.07	420923.9	0.0539412232906377
247.118706	5010742	31.87	420985.9	0.00876031095009165
247.583426	1460293.4	7.52	368976.8	0.00255303990154883
248.049322	2664022.3	15.78	452644.8	0.00465752651523035
248.056463	1535320.6	8.04	416202.1	0.00268421041516033
248.059897	1772633.6	9.66	539260.6	0.00309910618758267
248.067918	2099292.3	11.9	456847	0.00367020559492648
248.085683	3707489.8	22.93	432205	0.00648182714102883
249.00411	1728900.1	9.36	453559.4	0.00302264664148435
249.040472	16243600	108.89	410957.9	0.0283987854391443
249.043811	17562512	117.93	418561	0.0307046473725281
249.053512	2195860	12.56	465520.6	0.00383903549671251
249.061625	2360982.5	13.7	410315.7	0.00412772017551986
249.076834	2034587.4	11.46	431675.6	0.0035570816216717
249.080224	19827612	133.46	420743.6	0.0346647355856216
249.089839	1578399.6	8.33	495208.4	0.00275952569489714
249.116599	1571240.1	8.28	513642.5	0.00274700869716563
250.035708	3046097	18.24	454610.4	0.00532551005502605
250.043883	2210515.8	12.56	408568.4	0.00386465832167982
250.072134	2118877	11.94	422419.1	0.00370444564597366
250.08359	2063584.6	11.56	410646.3	0.00360777760415932
251.019743	9547285	62.46	429093.6	0.0166915768820557
251.023104	4258326	26.49	385004.8	0.00744485744563579
251.056107	9381409	61.33	410222.4	0.0164015748545801
251.059467	30420514	204.43	412248.7	0.0531843710775004
251.092489	3829804.8	23.57	459035.7	0.00669567120521343
251.09588	14425646	95.64	406304	0.025220445318467
251.128883	1794872.9	9.73	426364.8	0.00313798729208025
252.051387	4107630	25.46	392603.4	0.00718139470520034
252.05933	1426032.8	7.22	433837.1	0.00249314188458114
252.062894	2414450	13.94	446129	0.00422119773347915
252.087706	1933434.4	10.67	411236.1	0.00338023521179176
252.099262	1401726.3	7.06	454232.9	0.00245064668165343
252.999013	2885808.5	17.15	427363.2	0.00504527668804691
253.035414	2812605	16.65	475630.5	0.00491729456032311
253.038778	3602110.3	22.02	407469.8	0.00629759151529413
253.071777	19394762	129.44	414192.8	0.0339079812776274
253.075151	10389707	68.19	418998.6	0.0181643884279701
253.108121	6703318	43.11	399854.8	0.0117194519449108
253.144513	1424098.5	7.21	501276.3	0.00248976013603556
254.030659	2123541	11.96	385479	0.00371259974575992
254.066991	4148257.5	25.73	416503.3	0.00725242401246159
254.075168	2834980.5	16.8	415835	0.00495641378411547
254.103389	2360366.3	13.57	442688.8	0.0041266428692831
254.996862	1506919.5	7.76	401569.8	0.00263455659795628
255.051044	27501434	183.03	404842.9	0.0480809256220781
255.06228	1892990.5	10.3	414735.4	0.00330952689353582
255.087391	71439240	479.38	410108.3	0.124897661152425
255.12377	8828820	57.08	408852.2	0.01543548011899
256.046287	2266076	12.82	414314.4	0.00396179455987554
256.05442	2996958.8	17.75	443000.8	0.00523960143879161
256.08268	14226665	93.49	406480.4	0.0248725656165865
256.090772	10009836	65.05	394592.9	0.0175002576303912
256.97617	1647657.8	8.64	399651.9	0.00288061023044969
257.03031	10196541	66.3	419299	0.0178266751262305
257.066641	155096656	1043.63	411965.8	0.271156434292446
257.077918	2892366.5	17.04	411324.7	0.00505674207964175
257.086053	2112337.5	11.78	436478.9	0.00369301259804221
257.103028	101209688	680.17	410707.7	0.176945517857786
257.139462	5806693	36.7	387258.2	0.0101518769618792
258.007779	3874208	23.66	359843.5	0.00677330159192644
258.061909	14008244	92.01	404485.7	0.0244906988435556
258.070038	16068535	105.91	395206.8	0.0280927182266481
258.098321	8560577	55.27	410984.6	0.0149665092379936
258.106427	12601284	82.52	412970.3	0.0220309020521142
258.991851	1417480.6	7.09	416385.6	0.00247819002090359
259.028189	3338006	20.04	376494.5	0.0058358563488744
259.045931	91822368	616.85	406028.1	0.160533608765677
259.064571	4927779.5	30.76	391336.2	0.00861526710285366
259.0823	161225008	1084.96	409940.4	0.281870669655515
259.107249	1570355.1	8.12	472823.5	0.00274546144624135
259.118691	41056568	274.45	402358.2	0.0717794494754634
260.020139	1482756.6	7.52	367260.1	0.00259231245178871
260.04929	8855184	57.25	395813.2	0.0154815724617784
260.077553	13511322	88.65	405105.2	0.0236219270652558
260.085673	16538269	109.07	397684.5	0.028913957057909
260.113935	2312359.5	13.12	422262.9	0.00404271228660315
260.122069	5696170.5	35.94	377535.7	0.00995864979772238
261.004021	2053363.1	11.37	354143.8	0.00358990729306042
261.040393	2278400.8	12.89	450069.7	0.00398334208325585
261.043843	11553794	75.45	406610.3	0.0201995688649113
261.061552	118135816	794.33	404746.6	0.206537571182634
261.065825	1483786.3	7.46	402258.6	0.00259411268260988
261.080215	13605904	88.51	380029.4	0.0237872853555613
261.086554	2250514	12.59	401054.6	0.00393458741989401
261.089875	1808147.3	9.63	330912.4	0.00316119500696078
261.098001	29461526	194.53	396203.3	0.0515077664793378
261.134357	3488803.8	20.87	409301.5	0.0060994970668738
262.064966	10243457	66.03	408837.7	0.0179086986565848
262.083655	1566344	8.01	504007	0.00273844881552679
262.101344	3263886.8	19.36	454248.4	0.00570627329722815
262.153677	1428130.4	7.09	430465.8	0.0024968091315176
263.019741	2687209	15.5	387934.7	0.00469806396495466
263.023099	9649898	62.06	390821.8	0.0168709758188842
263.032736	1470702	7.37	367364.2	0.00257123732072449
263.040823	3634417	21.84	394956.2	0.00635407351691611
263.056118	7511799	47.76	393796.6	0.0131329242324964
263.059484	43163384	286.14	393801.6	0.0754628088012136
263.065824	2094074.5	11.54	416903.1	0.0036610832832059
263.069198	3708667.8	22.33	445880	0.00648388664564895
263.077216	3495678.8	20.91	381271.3	0.00611151667151157
263.092437	1747204.5	9.22	430593.2	0.0030546483361944
263.095843	21622534	142.11	393267.3	0.0378028087195328
264.000601	1435996.8	7.14	408669.7	0.00251056200685179
264.051334	3680880	22.15	382683.1	0.0064353050645939
264.054741	1819761.3	9.7	401299	0.0031814998343445
264.062852	4132980.3	25.17	412598.2	0.00722571479006564
264.087746	1876605.8	10.08	463311.8	0.00328088142210186
264.099276	2309250.3	12.97	414598.5	0.00403727645318646
264.998983	17600984	115.22	392591.1	0.030771908205928
265.03537	8539622	54.63	395575.2	0.0149298734830577
265.038753	39444968	261.27	390336.9	0.0689618793177567
265.055222	2306541.8	12.95	321669	0.00403254116603571
265.071785	7547380	48	396814	0.013195130712877
265.075132	43303412	287.07	388104.1	0.0757076206118635
265.0849	1940217.1	10.5	342930	0.00339209344777382
265.108156	2970114	17.39	441111.8	0.00519266851041632
265.111503	7944707.5	50.65	389297.3	0.0138897808163991
266.002308	1914199.3	10.33	456264.7	0.00334660636856732
266.042135	3835238.5	23.17	375235.8	0.00670517097622729
266.067096	3606384	21.64	439780.3	0.00630506325119819
266.070366	2078065.3	11.42	372647.6	0.00363309430072342
266.078498	4418420.5	27.07	419682.2	0.00772475164122588
267.01465	3605722.3	21.64	372405.4	0.00630390639703255
267.034554	1873121.9	10.05	502889.9	0.00327479049837858
267.051017	9313512	59.8	389287.2	0.0162828701133305
267.054392	28288234	186.67	383698.8	0.049456492884478
267.062345	1870828.5	10.04	395647.9	0.00327078093310203
267.070961	1617647.9	8.34	426630.9	0.00282814373834509
267.087422	24081654	158.54	386523	0.0421021032878002
267.090785	13202679	85.8	382104.1	0.0230823246166426
267.123794	5838084	36.56	404733	0.0102067580395787
268.046284	2686053.3	15.34	418168.9	0.00469604344756122
268.054333	1740904.3	9.08	455100.7	0.00304363365791965
268.057755	2464873.5	13.88	449008	0.00430935344758136
268.082609	6396531	39.93	373894.8	0.0111830943524733
268.090739	3375734.3	19.91	403144	0.00590181696700608
268.119062	1560449	7.89	439539.5	0.00272814255089557
269.012563	1683159.1	8.7	456727.6	0.00294267737083179
269.0303	8615902	54.63	358707.1	0.0150632342745878
269.050123	1464805.5	7.25	533829.6	0.00256092843363408
269.066647	61376492	404.22	381114.2	0.107304897148129
269.077939	2005488.1	10.83	436814.8	0.00350620713712829
269.103038	66545656	438.47	387198.6	0.11634217825181
269.139452	6634503.5	41.5	372769.3	0.0115991431327878
270.061937	13316457	85.77	371474.5	0.0232812433914028
270.070016	7456108	46.94	379311.8	0.013035559315859
270.098287	11764087	75.49	386960.3	0.0205672254057245
270.106419	8665466	54.96	386971.9	0.015149887319572
270.991825	16433868	106.43	382756.8	0.0287314321497217
271.020797	4816599	29.45	377466.3	0.00842088955326387
271.028156	2355162	13.14	332142.3	0.00411754415969526
271.045939	93711072	618.45	385556.1	0.16383564154499
271.050511	1721570.4	8.95	448759.1	0.00300983208204966
271.064522	1993191.8	10.75	232673.4	0.00348470944047267
271.082254	233614064	1545.43	388370	0.408428899942286
271.093574	4807411	29.39	393459.5	0.00840482611654941
271.101807	1457398	7.2	476453.1	0.00254797785598254
271.118687	71904000	473.96	382936	0.125710203909
271.155117	4473610.5	27.18	424342.9	0.00782124065649259
271.995148	2226250.5	12.29	336627.7	0.00389216739412985
272.023388	3249237.3	19.07	384213.8	0.00568066148658946
272.041182	2530652	14.3	351929.1	0.00442435440229637
272.049274	9962591	63.55	383168	0.0174176589073204
272.077563	40266856	264.34	376317.5	0.0703987911456155
272.08565	23137388	150.84	372210.2	0.0404512372524706
272.113957	5293175.5	32.61	398409.9	0.00925409116921343
272.122118	9587835	61.06	376379.2	0.016762470695592
273.007431	4436427	26.93	396813.1	0.00775623251554006
273.025182	4243922	25.65	385628.8	0.0074196748441518
273.043815	2964953	17.18	402719.5	0.00518364550248388
273.061487	465808864	3083.92	381904.2	0.814376491934518
273.072818	3099620	18.07	411874.5	0.0054190846439755
273.080883	4512743	27.43	309966.9	0.00788965624609079
273.086517	2803689.3	16.11	391241.4	0.00490170718736762
273.089028	1708522.1	8.85	297807	0.00298701965918492
273.09793	158019056	1044.55	385187.5	0.276265684124217
273.109215	2202865.8	12.13	402222.7	0.00385128377979198
273.125406	1498615.9	7.46	381460.1	0.00262003936318243
273.134363	29658620	194.05	377257.4	0.0518523471275526
274.056849	4783960.5	28.95	404213.7	0.00836382746366824
274.06495	38006620	247.01	379066.3	0.0664472066935341
274.093232	20701030	133.43	373933.5	0.0361917376283145
274.101314	15038313	96.26	386602.7	0.026291574789683
274.137709	3879798.8	23.02	397301	0.00678307602183318
275.019773	1858754.8	9.75	582669	0.00324967240939075
275.023107	5624004	34.47	379866.2	0.00983248066345448
275.040857	20680906	133.29	375738.9	0.0361565547157719
275.056137	1792208.4	9.32	415492.7	0.00313332893039918
275.059466	24793298	160.28	375251.7	0.0433462748547591
275.077182	209236192	1370.87	384723.3	0.365808916909527
275.095898	8628447	54.18	332241.4	0.0150851667749777
275.10223	1928417.8	10.21	438060.9	0.00337146465926437
275.113601	22360294	144.31	374814.2	0.0390926390493601
275.150034	2980083.5	17.11	434676.2	0.00521009824837069
276.044277	1739586.1	8.97	441670.8	0.00304132904078023
276.05141	1864772.8	9.79	435412.3	0.00326019371567586
276.05471	3039302	17.5	380240.7	0.00531363031487861
276.062861	2243145	12.27	417644.3	0.00392170415202845
276.072496	2269772.5	12.45	426037.8	0.00396825717348187
276.080599	17556048	112.78	371575.5	0.0306933463217094
276.116913	3311709.3	19.29	397290.5	0.0057898816670885
277.0354	8997810	56.6	393516.2	0.0157309263717518
277.038762	53236660	346.97	374376.7	0.0930739789724369
277.048436	3001271.3	17.25	382135.8	0.00524714100897348
277.056518	20997050	135.36	371389.4	0.0367092712086597
277.071806	4746176	28.7	352957.7	0.00829776859073211
277.075131	52048832	339.17	374425.8	0.090997291999684
277.081483	2347459.5	12.95	419185.3	0.00410407783173563
277.084851	4064708.8	24.23	384840.1	0.0071063553081707
277.092881	4635591.5	27.97	371438.2	0.00810443303159528
277.11151	8222670.5	51.52	365582.5	0.0143757452329706
278.030591	2316065.3	12.75	370213.8	0.00404919115945648
278.042086	5051685.5	30.7	366810.1	0.0088318927220897
278.059813	1903404	10.04	458088.6	0.00332773287941152
278.067035	3069230.5	17.69	373244.3	0.00536595449486429
278.07038	3333935.8	19.43	392754.8	0.00582874039326762
278.078515	4371763	26.24	374768.9	0.00764318004800597
278.103391	1541947.9	7.67	435898.7	0.00269579696436991
279.014608	17663624	113.48	359092.2	0.0308814221018567
279.051037	5952150	36.61	403253	0.0104061803265041
279.054388	96958104	633.93	374569.6	0.169512447492073
279.059312	1780889	9.23	403848.5	0.0031135391540011
279.064075	2296474.8	12.62	395835.6	0.00401494096823375
279.070996	2114461.3	11.42	327548.1	0.00369672565059926
279.08746	6087331.5	37.5	383361.9	0.0106425189714992
279.090796	36271780	235.61	372121.1	0.0634141752884733
279.098693	2005671.4	10.71	294407.9	0.00350652760164176
279.10043	1449896	7.06	372630.8	0.0025348620634018
279.12379	2388656.5	13.22	401039.9	0.00417610279933742
279.127169	2994865.8	17.2	377709.3	0.00523594223406334
280.018031	2759667.8	15.65	378402.8	0.0048247441291041
280.046347	3207678	18.59	371907.5	0.00560800310767708
280.057746	8425474	52.84	375916.4	0.0147303078350297
280.082698	3496971	20.49	385258.2	0.00611377583269164
280.086026	1854476.3	9.71	344509.3	0.00324219228161726
280.094093	3435023.3	20.09	392288.6	0.0060054722890961
281.030323	8733022	54.16	364501.1	0.0152679958884316
281.033681	3777887.3	22.05	370268.3	0.0066049035217543
281.050218	3294565	18.92	397525	0.00575990818231885
281.06665	16071019	101.71	362199.3	0.0280970610190728
281.070007	61593964	396.7	369343	0.107685104778644
281.077941	1656686.9	8.3	433093.9	0.00289639586132022
281.103024	20519288	130.53	362713.6	0.035873996975794
281.106408	8405369	52.04	351822.8	0.0146951581403036
281.139437	3020164.8	17.14	325769.9	0.00528017263082421
282.033722	1491648.6	7.23	409932.8	0.00260785838988894
282.061933	6701770.5	40.99	384280.6	0.011716746441176
282.070091	2701517.5	15.07	382727.4	0.00472307960320332
282.073419	6800078.5	41.63	374102.7	0.0118886189201186
282.098323	5674711.5	34.34	362594.3	0.00992113289649737
282.106382	2797274.3	15.69	370218.3	0.00489049180354925
282.599873	1484422.8	7.18	336829.4	0.00259522547946107
283.028155	1567003.6	7.72	432764.8	0.00273960199824957
283.045928	30395426	194.53	365692.4	0.0531405095733327
283.049325	3905059	22.87	369516.1	0.00682723858431624
283.065894	3022888.8	17.15	414444.9	0.00528493501671996
283.082284	77954096	502.71	367162.5	0.136287623827628
283.085613	4693039.5	27.98	359245.7	0.00820486972210157
283.118691	40795196	261.92	361120.8	0.0713224912058803
283.155075	4776007.5	28.51	361628.4	0.00834992318502327
284.02341	1553521.9	7.63	329111.7	0.00271603185950847
284.041138	1507959.9	7.33	454465.8	0.00263637553565302
284.049362	4308858.5	25.48	362307.9	0.00753320372510608
284.07759	22531460	143.57	362343.9	0.0393918896162588
284.085652	9997703	62.35	354221.5	0.0174790454321264
284.113946	6536592.5	39.92	375812.1	0.0114279647313785
284.122054	5044627.5	30.25	369950.6	0.0088195531774303
284.879532	1515668	7.38	290397.1	0.00264985165412698
285.007452	17014464	107.81	357600.3	0.0297464916950703
285.020711	1513027.5	7.36	318458.9	0.00264523525179301
285.061565	256949968	1662.6	369729.7	0.449227203934287
285.097984	159137504	1028.77	369776.9	0.27822107361773
285.103265	2036703.3	10.76	370745.5	0.00356078086261033
285.109215	4260577	25.17	404984.7	0.00744879288273246
285.134378	38321896	245.89	360473.3	0.0669984056567018
285.170755	2667253.8	14.84	414492.4	0.00466317616648663
286.002739	1734666.5	8.8	465045.1	0.00303272807394736
286.010757	1985549.3	10.42	404541.4	0.00347134801088079
286.039063	3329558.5	19.13	347556.6	0.00582108753284857
286.056815	19873820	126.34	356235.1	0.0347455213152364
286.064935	26685472	170.48	361193.1	0.0466543742563405
286.09322	36732968	235.59	364450	0.0642204730955547
