Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,test_peaks
141.571457158545,0,0,0,0,0,0,0,0,,None,141.564180691665,0,0,1200206.8
141.576048158158,0,0,0,0,0,0,0,0,,None,141.568771691278,0,0,1288143.1
141.599005156219,0,0,0,0,0,0,0,0,,None,141.591728689339,0,0,1188128.8
141.624509154065,0,0,0,0,0,0,0,0,,None,141.617232687185,0,0,1376210.8
141.636917153017,0,0,0,0,0,0,0,0,,None,141.629640686137,0,0,1290627.6
141.647031152163,0,0,0,0,0,0,0,0,,None,141.639754685283,0,0,1280012.4
141.659562151104,0,0,0,0,0,0,0,0,,None,141.652285684224,0,0,1265437.4
142.688483064314,0,0,0,0,0,0,0,0,,None,142.681206597434,0,0,1239546.6
143.548979991883,0,0,0,0,0,0,0,0,,None,143.541703525003,0,0,1297485.4
143.629019985152,0,0,0,0,0,0,0,0,,None,143.621743518272,0,0,1364869.6
144.462897915107,0,0,0,0,0,0,0,0,,None,144.455621448227,0,0,1206241.3
144.665504898108,0,0,0,0,0,0,0,0,,None,144.658228431228,0,0,1300329.1
144.964728873017,0,0,0,0,0,0,0,0,,None,144.957452406137,0,0,2784141.5
146.143495774335,0,0,0,0,0,0,0,0,,None,146.136219307455,0,0,1234899
146.36669375568,0,0,0,0,0,0,0,0,,None,146.3594172888,0,0,1242251.4
146.80261971927,0,0,0,0,0,0,0,0,,None,146.79534325239,0,0,1198637
147.765282638993,0,0,0,0,0,0,0,0,,None,147.758006172113,0,0,1310089.4
148.574397571655,0,0,0,0,0,0,0,0,,None,148.567121104775,0,0,1200616.9
148.576459571484,0,0,0,0,0,0,0,0,,None,148.569183104604,0,0,9770489
148.578657571301,0,0,0,0,0,0,0,0,,None,148.571381104421,0,0,2295609.8
148.580877571116,0,0,0,0,0,0,0,0,,None,148.573601104236,0,0,2803130
148.928770542202,0,0,0,0,0,0,0,0,,None,148.921494075322,0,0,1213275.1
149.105576527515,0,0,0,0,0,0,0,0,,None,149.098300060635,0,0,1262205
149.365625505925,0,0,0,0,0,0,0,0,,None,149.358349039045,0,0,1193727.6
149.777189471781,0,0,0,0,0,0,0,0,,None,149.769913004901,0,0,1271842.1
150.151471440758,0,0,0,0,0,0,0,0,,None,150.144194973878,0,0,1199103.5
150.682323396803,0,0,0,0,0,0,0,0,,None,150.675046929923,0,0,1315489
151.006199370011,0,0,0,0,0,0,0,0,,None,150.998922903131,0,0,1275272.5
151.622342319097,0,0,0,0,0,0,0,0,,None,151.615065852217,0,0,1233748.9
152.288159264159,0,0,0,0,0,0,0,0,,None,152.280882797279,0,0,1222371.1
153.355016176304,0,0,0,0,0,0,0,0,,None,153.347739709424,0,0,1338782.6
155.584254993417,0,0,0,0,0,0,0,0,,None,155.576978526537,0,0,42582148
155.58666699322,0,0,0,0,0,0,0,0,,None,155.57939052634,0,0,12945540
155.589080993022,0,0,0,0,0,0,0,0,,None,155.581804526142,0,0,12889733
155.666366986699,0,0,0,0,0,0,0,0,,None,155.659090519819,0,0,1269147.1
155.712114982956,0,0,0,0,0,0,0,0,,None,155.704838516076,0,0,1236888.5
155.796522976051,0,0,0,0,0,0,0,0,,None,155.789246509171,0,0,1234017.3
156.085994952383,8,12,3,0,0,0,0,0,CHO,Protein,156.078718485503,-0.475618995149135,1,7756311
156.088410952186,0,0,0,0,0,0,0,0,,None,156.081134485306,0,0,2315223.5
156.090872951985,0,0,0,0,0,0,0,0,,None,156.083596485105,0,0,2350232.3
156.820439892403,0,0,0,0,0,0,0,0,,None,156.813163425523,0,0,1237396.9
157.050651873623,0,0,0,0,0,0,0,0,,None,157.043375406743,0,0,12366396
158.05375779191,0,0,0,0,0,0,0,0,,None,158.04648132503,0,0,1288730.3
158.35767776719,0,0,0,0,0,0,0,0,,None,158.35040130031,0,0,1323805.1
159.102434706686,0,0,0,0,0,0,0,0,,None,159.095158239806,0,0,1924692.8
160.756747572664,0,0,0,0,0,0,0,0,,None,160.749471105784,0,0,1231443.4
160.910453560238,0,0,0,0,0,0,0,0,,None,160.903177093358,0,0,1285530.4
161.493761513122,0,0,0,0,0,0,0,0,,None,161.486485046242,0,0,1259294
161.567576507164,0,0,0,0,0,0,0,0,,None,161.560300040284,0,0,1258841
161.591451505237,0,0,0,0,0,0,0,0,,None,161.584175038357,0,0,1422401.8
161.803522488127,0,0,0,0,0,0,0,0,,None,161.796246021247,0,0,1447344
161.866831483021,0,0,0,0,0,0,0,0,,None,161.859555016141,0,0,1223879.4
161.902526480142,0,0,0,0,0,0,0,0,,None,161.895250013262,0,0,1299156.6
162.592107424577,0,0,0,0,0,0,0,0,,None,162.584830957697,0,0,19381688
162.594748424365,0,0,0,0,0,0,0,0,,None,162.587471957485,0,0,6304440
162.597375424153,0,0,0,0,0,0,0,0,,None,162.590098957273,0,0,5978041
162.68709541693,0,0,0,0,0,0,0,0,,None,162.67981895005,0,0,1286171.1
162.898195399942,0,0,0,0,0,0,0,0,,None,162.890918933062,0,0,1317835.5
163.093828384206,0,0,0,0,0,0,0,0,,None,163.086551917326,0,0,3940342.5
163.096463383994,0,0,0,0,0,0,0,0,,None,163.089186917114,0,0,1632119.5
163.20483337528,0,0,0,0,0,0,0,0,,None,163.1975569084,0,0,1228705.3
163.629261341174,0,0,0,0,0,0,0,0,,None,163.621984874294,0,0,1278981.9
163.975790313353,0,0,0,0,0,0,0,0,,None,163.968513846473,0,0,1336717.8
165.019330229708,0,0,0,0,0,0,0,0,,None,165.012053762828,0,0,6988142.5
166.022693149476,0,0,0,0,0,0,0,0,,None,166.015416682596,0,0,1288458.1
166.448875115455,0,0,0,0,0,0,0,0,,None,166.441598648575,0,0,1275324
166.703445095149,0,0,0,0,0,0,0,0,,None,166.696168628269,0,0,1251591
167.005541071069,0,0,0,0,0,0,0,0,,None,166.998264604189,0,0,1368167
167.437264036685,0,0,0,0,0,0,0,0,,None,167.429987569805,0,0,1297887.3
167.480407033251,0,0,0,0,0,0,0,0,,None,167.473130566371,0,0,1221745.8
168.299006968158,0,0,0,0,0,0,0,0,,None,168.291730501278,0,0,1232852.4
169.12341390273,0,0,0,0,0,0,0,0,,None,169.11613743585,0,0,10983488
169.175403898609,0,0,0,0,0,0,0,0,,None,169.168127431729,0,0,1304566.8
169.459317876109,0,0,0,0,0,0,0,0,,None,169.452041409229,0,0,1228373.5
169.599953864969,0,0,0,0,0,0,0,0,,None,169.592677398089,0,0,10902292
169.602828864741,0,0,0,0,0,0,0,0,,None,169.595552397861,0,0,3345045.8
169.605677864516,0,0,0,0,0,0,0,0,,None,169.598401397636,0,0,3094039
170.601615785736,0,0,0,0,0,0,0,0,,None,170.594339318856,0,0,1248346
171.10244574619,0,0,0,0,0,0,0,0,,None,171.09516927931,0,0,1314864
171.1390687433,0,0,0,0,0,0,0,0,,None,171.13179227642,0,0,1224656.9
172.190007660478,11,24,1,0,0,0,0,0,CHO,Lipid,172.182731193598,-0.0917693536943021,1,1253594.3
176.516940321669,0,0,0,0,0,0,0,0,,None,176.509663854789,0,0,1255917.8
176.812731298636,0,0,0,0,0,0,0,0,,None,176.805454831756,0,0,1324929.8
177.091829276919,0,0,0,0,0,0,0,0,,None,177.084552810039,0,0,1637581.9
177.537662242257,0,0,0,0,0,0,0,0,,None,177.530385775377,0,0,1288046.8
177.617104236085,0,0,0,0,0,0,0,0,,None,177.609827769205,0,0,1300438.9
177.663542232477,0,0,0,0,0,0,0,0,,None,177.656265765597,0,0,1312398.4
177.982470207712,0,0,0,0,0,0,0,0,,None,177.975193740832,0,0,1239888.3
178.245492187303,0,0,0,0,0,0,0,0,,None,178.238215720423,0,0,1275094
179.373779099901,0,0,0,0,0,0,0,0,,None,179.366502633021,0,0,1417464.3
179.683896075919,0,0,0,0,0,0,0,0,,None,179.676619609039,0,0,1282488.3
180.174540038015,0,0,0,0,0,0,0,0,,None,180.167263571135,0,0,1374390.5
180.671562999664,0,0,0,0,0,0,0,0,,None,180.664286532784,0,0,1374265.3
181.087042967641,0,0,0,0,0,0,0,0,,None,181.079766500761,0,0,1687442.3
182.031188894991,0,0,0,0,0,0,0,0,,None,182.023912428111,0,0,1259202.4
183.139088809954,0,0,0,0,0,0,0,0,,None,183.131812343074,0,0,1993933.1
183.504740781939,0,0,0,0,0,0,0,0,,None,183.497464315059,0,0,1253263.8
183.816001758111,0,0,0,0,0,0,0,0,,None,183.808725291231,0,0,1309621.8
183.942888748402,0,0,0,0,0,0,0,0,,None,183.935612281522,0,0,1298233.6
184.51666470454,0,0,0,0,0,0,0,0,,None,184.50938823766,0,0,1403948.8
185.027545665537,0,0,0,0,0,0,0,0,,None,185.020269198657,0,0,31915840
185.027811665517,0,0,0,0,0,0,0,0,,None,185.020535198637,0,0,55662400
185.081960661386,0,0,0,0,0,0,0,0,,None,185.074684194506,0,0,4033628.5
185.11834265861,0,0,0,0,0,0,0,0,,None,185.11106619173,0,0,5586288
186.031172380985,0,0,0,0,0,0,0,0,,None,186.023895914105,0,0,4440924.5
186.46147344063,0,0,0,0,0,0,0,0,,None,186.45419697375,0,0,1255173.1
186.477435368653,0,0,0,0,0,0,0,0,,None,186.470158901773,0,0,1344077.8
187.023590577821,4,5,2,5,0,1,0,0,CHONS,Lignin,187.016314110941,0.433169476154347,1,2783350
187.097610572202,0,0,0,0,0,0,0,0,,None,187.090334105322,0,0,2117278
187.133983569441,0,0,0,0,0,0,0,0,,None,187.126707102561,0,0,5736370
188.56213802417,0,0,0,0,0,0,0,0,,None,188.55486155729,0,0,2177211.5
192.297169279289,0,0,0,0,0,0,0,0,,None,192.289892812409,0,0,1334841.8
193.086986602345,0,0,0,0,0,0,0,0,,None,193.079710135465,0,0,1644267.5
194.539693036141,0,0,0,0,0,0,0,0,,None,194.532416569261,0,0,1336905
195.551814732036,0,0,0,0,0,0,0,0,,None,195.544538265156,0,0,2074675.9
195.569973762465,0,0,0,0,0,0,0,0,,None,195.562697295585,0,0,1921853.8
196.559567420802,0,0,0,0,0,0,0,0,,None,196.552290953922,0,0,2686171.3
196.577865451467,0,0,0,0,0,0,0,0,,None,196.570588984587,0,0,3127525.3
197.081399295349,0,0,0,0,0,0,0,0,,None,197.074122828469,0,0,1345144.4
197.137820389909,0,0,0,0,0,0,0,0,,None,197.130543923029,0,0,1339159.1
197.567397109888,0,0,0,0,0,0,0,0,,None,197.560120643008,0,0,5670401.5
197.571263116367,0,0,0,0,0,0,0,0,,None,197.563986649487,0,0,1804035.5
197.575201122967,0,0,0,0,0,0,0,0,,None,197.567924656087,0,0,1439237.6
198.557087714692,0,0,0,0,0,0,0,0,,None,198.549811247812,0,0,3083547.8
198.561004714403,0,0,0,0,0,0,0,0,,None,198.553728247523,0,0,1790366
198.564942714112,0,0,0,0,0,0,0,0,,None,198.557666247232,0,0,1398816.1
199.097609674854,0,0,0,0,0,0,0,0,,None,199.090333207974,0,0,3172417
200.743301618101,0,0,0,0,0,0,0,0,,None,200.736025151221,0,0,1305721.3
201.040496596313,0,0,0,0,0,0,0,0,,None,201.033220129433,0,0,4924761
201.113259590981,0,0,0,0,0,0,0,0,,None,201.105983124101,0,0,3853440
203.092524004224,0,0,0,0,0,0,0,0,,None,203.085247537344,0,0,2531999
203.128889001573,0,0,0,0,0,0,0,0,,None,203.121612534693,0,0,1632818.4
203.567450351315,0,0,0,0,0,0,0,0,,None,203.560173884435,0,0,3293082
203.575646357305,0,0,0,0,0,0,0,0,,None,203.568369890425,0,0,1491742.5
204.392260954222,0,0,0,0,0,0,0,0,,None,204.384984487342,0,0,1393644
204.55710107473,0,0,0,0,0,0,0,0,,None,204.54982460785,0,0,4986018.5
204.561283077787,0,0,0,0,0,0,0,0,,None,204.554006610907,0,0,1522596.5
204.565498080868,0,0,0,0,0,0,0,0,,None,204.558221613988,0,0,1529382.8
205.546727798311,0,0,0,0,0,0,0,0,,None,205.539451331431,0,0,1922726.3
205.564947811634,0,0,0,0,0,0,0,0,,None,205.557671344754,0,0,1644591.8
207.012178870137,0,0,0,0,0,0,0,0,,None,207.004902403257,0,0,5266329.5
208.879444392903,0,0,0,0,0,0,0,0,,None,208.872167926023,0,0,1328907.4
209.045573380976,0,0,0,0,0,0,0,0,,None,209.038296914096,0,0,3027358.5
209.118344388353,0,0,0,0,0,0,0,0,,None,209.111067921473,0,0,1908931
209.549336627268,0,0,0,0,0,0,0,0,,None,209.542060160388,0,0,1547289.8
209.567470442682,0,0,0,0,0,0,0,0,,None,209.560193975802,0,0,3528354.8
209.571852398078,0,0,0,0,0,0,0,0,,None,209.564575931198,0,0,1508901
210.557021336897,0,0,0,0,0,0,0,0,,None,210.549744870017,0,0,7048331.5
210.56144933658,0,0,0,0,0,0,0,0,,None,210.5541728697,0,0,1672461.6
210.565896336262,0,0,0,0,0,0,0,0,,None,210.558619869382,0,0,1603215.9
210.575259335593,0,0,0,0,0,0,0,0,,None,210.567982868713,0,0,4173460.5
210.579701335275,0,0,0,0,0,0,0,0,,None,210.572424868395,0,0,1475094.6
210.584071334963,0,0,0,0,0,0,0,0,,None,210.576794868083,0,0,1426200.8
211.042992302174,0,0,0,0,0,0,0,0,,None,211.035715835294,0,0,1333753.1
211.061223300872,0,0,0,0,0,0,0,0,,None,211.053946833992,0,0,1627522
211.097608804574,0,0,0,0,0,0,0,0,,None,211.090332337694,0,0,1435283.8
211.546734063536,0,0,0,0,0,0,0,0,,None,211.539457596656,0,0,3005037.8
211.551153044727,0,0,0,0,0,0,0,0,,None,211.543876577847,0,0,1533167.9
211.564856986396,0,0,0,0,0,0,0,0,,None,211.557580519516,0,0,5841014.5
211.569328967361,0,0,0,0,0,0,0,0,,None,211.562052500481,0,0,1997944.8
211.573763948484,0,0,0,0,0,0,0,0,,None,211.566487481604,0,0,1879290.9
211.583132908605,0,0,0,0,0,0,0,0,,None,211.575856441725,0,0,2213759.3
211.594519860137,0,0,0,0,0,0,0,0,,None,211.587243393257,0,0,1349444.9
211.801554978902,0,0,0,0,0,0,0,0,,None,211.794278512022,0,0,3641064.8
212.384234498798,0,0,0,0,0,0,0,0,,None,212.376958031918,0,0,1450880.5
212.57274625736,0,0,0,0,0,0,0,0,,None,212.56546979048,0,0,4738650.5
212.581717256722,0,0,0,0,0,0,0,0,,None,212.574440789842,0,0,1363166.8
213.055721223034,0,0,0,0,0,0,0,0,,None,213.048444756154,0,0,3260223.8
213.076873221531,0,0,0,0,0,0,0,0,,None,213.069596754651,0,0,1347017.8
213.113258725247,0,0,0,0,0,0,0,0,,None,213.105982258367,0,0,7531867
213.227000717171,0,0,0,0,0,0,0,0,,None,213.219724250291,0,0,1321872.6
213.562393758523,0,0,0,0,0,0,0,0,,None,213.555117291643,0,0,3176750.5
215.092523142955,0,0,0,0,0,0,0,0,,None,215.085246676075,0,0,4958963
215.128908646685,0,0,0,0,0,0,0,0,,None,215.121632179805,0,0,2711811.5
216.575386102605,0,0,0,0,0,0,0,0,,None,216.568109635725,0,0,2235535
217.038220070058,10,7,1,3,0,1,0,0,CHONS,ConHC,217.030943603178,0.179463912760665,1,1378651.6
217.108173065142,0,0,0,0,0,0,0,0,,None,217.100896598262,0,0,4152954.3
217.546806227479,0,0,0,0,0,0,0,0,,None,217.539529760599,0,0,1938106.1
217.564883440251,0,0,0,0,0,0,0,0,,None,217.557606973371,0,0,1577026
217.583192655754,0,0,0,0,0,0,0,0,,None,217.575916188874,0,0,1692490
218.050885160601,9,14,2,0,0,2,0,0,CHOS,Lipid,218.043608693721,-0.401846776508352,1,1926164.4
218.554614149003,0,0,0,0,0,0,0,0,,None,218.547337682123,0,0,3864300.3
218.572778147732,0,0,0,0,0,0,0,0,,None,218.565501680852,0,0,6357236
218.582337147063,0,0,0,0,0,0,0,0,,None,218.575060680183,0,0,1907960
219.066308113213,0,0,0,0,0,0,0,0,,None,219.059031646332,0,0,1599044.8
219.20128110378,0,0,0,0,0,0,0,0,,None,219.1940046369,0,0,1346173.5
219.544292054978,0,0,0,0,0,0,0,0,,None,219.537015588098,0,0,1773452.9
219.5624268251,0,0,0,0,0,0,0,0,,None,219.55515035822,0,0,4025748.5
219.567188764738,0,0,0,0,0,0,0,0,,None,219.559912297858,0,0,1596438.4
219.57198970388,0,0,0,0,0,0,0,0,,None,219.564713237,0,0,1509784.4
219.580694593536,0,0,0,0,0,0,0,0,,None,219.573418126656,0,0,2978716
220.552145279434,0,0,0,0,0,0,0,0,,None,220.544868812554,0,0,1327403.3
220.570263049775,0,0,0,0,0,0,0,0,,None,220.562986582895,0,0,3695154.8
220.579955926909,0,0,0,0,0,0,0,0,,None,220.572679460029,0,0,1340086.6
220.600919661175,0,0,0,0,0,0,0,0,,None,220.593643194295,0,0,1332351.1
221.058167865165,0,0,0,0,0,0,0,0,,None,221.050891398285,0,0,2019063.6
221.058645859106,0,0,0,0,0,0,0,0,,None,221.051369392226,0,0,10638072
221.081963563535,0,0,0,0,0,0,0,0,,None,221.074687096655,0,0,1395585.1
221.09500139827,0,0,0,0,0,0,0,0,,None,221.08772493139,0,0,1644806.4
222.062018140647,0,0,0,0,0,0,0,0,,None,222.054741673767,0,0,1461125.8
223.024836953794,7,7,0,5,0,0,2,0,CHNP,UnsatHC,223.017560486914,0.48329730741591,1,2552058.8
223.055680095989,0,0,0,0,0,0,0,0,,None,223.048403629109,0,0,3843590.5
223.061222457577,0,0,0,0,0,0,0,0,,None,223.053945990697,0,0,3765768.5
223.11064145416,0,0,0,0,0,0,0,0,,None,223.10336498728,0,0,1504795.5
223.134017452544,0,0,0,0,0,0,0,0,,None,223.126740985664,0,0,2087972.4
223.564930261589,0,0,0,0,0,0,0,0,,None,223.557653794709,0,0,2200776
223.58322956159,0,0,0,0,0,0,0,0,,None,223.57595309471,0,0,1357391
224.554580912426,0,0,0,0,0,0,0,0,,None,224.547304445546,0,0,3654201.5
224.572778911173,0,0,0,0,0,0,0,0,,None,224.565502444293,0,0,4447296
224.58284291048,0,0,0,0,0,0,0,0,,None,224.5755664436,0,0,1498308
225.040486878986,7,9,0,5,0,0,2,0,CHNP,UnsatHC,225.033210412106,0.479586074443987,1,1487083.8
225.058720664157,5,12,5,3,0,0,1,0,CHONP,Other,225.051444197277,0.0569826279682246,1,2314226.5
225.076872382784,0,0,0,0,0,0,0,0,,None,225.069595915904,0,0,2554105
225.113257886582,0,0,0,0,0,0,0,0,,None,225.105981419702,0,0,3215366.3
225.544219636546,0,0,0,0,0,0,0,0,,None,225.536943169666,0,0,1451426.3
225.562399542676,0,0,0,0,0,0,0,0,,None,225.555123075796,0,0,6879657
225.567513516271,0,0,0,0,0,0,0,0,,None,225.560237049391,0,0,2009514.6
225.572538490325,0,0,0,0,0,0,0,0,,None,225.565262023445,0,0,2222892.5
225.580669448341,0,0,0,0,0,0,0,0,,None,225.573392981461,0,0,2299311.5
226.048355033514,0,0,0,0,0,0,0,0,,None,226.041078566634,0,0,1316054.8
