mOz	abs_abu	sn	resolution	rel_abu
249.040554	14274867	47.98	763928.079754601	0.0190240747691299
249.053637	3860274.5	11.5	841397.422297297	0.0051445768788855
249.071408	5031730.5	15.61	747962.186186186	0.00670577296798013
249.07695	12405043	41.43	750231.777108434	0.0165321656269212
249.089999	13306163	44.59	764079.751533742	0.0177330856954555
249.107798	15198515	51.22	741392.255952381	0.0202550178393776
249.113329	26073394	89.31	757183.370820669	0.0347479382428561
249.1167	5314355	16.6	811455.048859935	0.00708242583764175
249.126392	4195123	12.68	780960.476489028	0.00559082852524627
249.149704	9526579	31.27	793470.394904459	0.0126960448170917
250.116716	3252527	9.35	639684.695652174	0.00433463350913279
250.121634	2800175	7.77	825483.940594059	0.00373178528154752
250.144985	3062574.8	8.69	774442.678018576	0.00408148475087391
250.981657	89098528	309.25	749198.976119403	0.118741355593115
251.019824	3312415.3	9.56	758368.048338369	0.00441444647670693
251.056212	15257886	51.29	731942.309037901	0.0203341414027088
251.06927	12452126	41.49	763128.480243161	0.0165949130074996
251.087053	4784413.5	14.7	736325.668621701	0.00637617430344077
251.092599	22819102	77.71	745081.896142433	0.0304109525232286
251.105655	15612189	52.53	770262.745398773	0.020806320006049
251.128978	47466780	163.81	747407.672619048	0.0632588430960402
251.142043	4519708	13.78	810135.622580645	0.00602340203426307
251.165343	5597979.5	17.54	763420.49544073	0.00746041140446749
251.981213	9299203	30.48	758979.557228916	0.0123930214667021
251.985048	3000834.5	8.47	810241.311897106	0.00399920362815182
252.095951	3248126.5	9.34	704178.634078212	0.00432876897526207
252.132323	7906557	25.61	771046.859327217	0.0105370460918752
252.97836	5943513.5	18.75	1819988.20143885	0.00792090358637549
252.978725	26986714	92.27	805664.729299363	0.0359651172167927
253.035469	4344023	13.16	769104.768996961	0.00578926713298416
253.066349	3728085.5	11.01	746508.404129794	0.00496840897345728
253.071853	19833046	67.27	769215.358662614	0.0264314441601168
253.084915	14282965	47.89	737856.895043732	0.019034866950765
253.10271	4773075.5	14.66	835322.475247525	0.00636106418299395
253.108241	42424532	146.2	737924.900874636	0.0565390534856364
253.121315	6516947	20.76	824499.397394137	0.0086851167856385
253.144626	110184656	381.9	738030.979591837	0.146842778581045
253.978267	3762854	11.1	717452.731638418	0.00501474485480808
254.111601	6719134.5	21.41	756284.526785714	0.00895457149350957
254.139894	4575389	13.94	827817.244299674	0.00609760794505859
254.14798	15945884	53.55	763207.147147147	0.0212510343862309
254.975611	3002473.5	8.46	734800.031700288	0.00400138791880382
255.033364	7540837.5	24.27	752310.808259587	0.0100496527513608
255.051124	17731684	59.78	750150.364705882	0.0236309649819214
255.066379	3646051.5	10.7	885647.149305556	0.00485908249429563
255.081951	4538978.5	13.81	745853.657894737	0.0060490837749643
255.087508	34072676	116.71	750257.376470588	0.0454085586792745
255.100572	2652513.3	7.24	858924.484848485	0.00353499695270797
255.106142	3364961	9.72	836413.580327869	0.00448447398208377
255.118351	2697312.3	7.39	702805.374655647	0.00359470045296351
255.123898	59394144	204.94	741639.238372093	0.0791544072743004
255.160282	6062173.5	19.12	780306.672782875	0.0080790414318703
255.233053	5081176.5	15.7	775784.3556231	0.00677166951195734
256.090851	4423709	13.41	719356.323033708	0.00589546443920444
256.095849	3025948.5	8.54	815591.875796178	0.0040326729847316
256.127251	8866842	28.89	721485.214084507	0.0118168151881248
257.045644	15108053	50.5	726117.638418079	0.0201344593885167
257.049014	128616408	444.91	728184.175637394	0.171406722201259
257.081996	3265746.3	9.35	666015.533678756	0.00435225083275448
257.103163	33626064	114.84	728337.57223796	0.0448133601334113
257.131494	2966990.3	8.31	921618.258064516	0.00395409955878981
257.139541	34805708	118.94	730510.059659091	0.0463854683468858
257.175923	6749131	21.45	765404.532738095	0.00899454774399318
258.052366	14337924	47.82	756751.806451613	0.019108110654208
258.098447	2686848.8	7.34	782116.506060606	0.00358075577618671
258.106506	4813696	14.73	716962.516666667	0.0064151990081492
258.142889	4688765	14.29	707240.791780822	0.00624870381873817
259.024897	4253491.5	12.78	817113.239747634	0.00566861605967037
259.044831	5696305.5	17.79	746526.890489914	0.00759145018582703
259.061327	5530416	17.22	690830.205333333	0.00737036971961928
259.074379	6268719	19.78	748769.88150289	0.00835430403398263
259.082418	5321518.5	16.49	804603.782608696	0.00709197261377694
259.097675	3406637.3	9.84	819929.351265823	0.0045400158689049
