LowBinIndex,UpperBinIndex,PairCount,DistanceMean,DistanceStdDev,Type,Formula,FormulaDistance,ChainCount,ChainMean,ChainStdDev
269309,269320,184,14.97782663,0.00011915,MDM,1 / 2 * H_2S1,14.97821031,0,0,0.00000000
88488,88496,171,4.92144605,0.00010316,MDM,5 * H_N_O,4.92007792,0,0,0.00000000
234055,234067,163,13.01711048,0.00013797,MDM,1 / 2 * C2H2O2S_,13.01670431,0,0,0.00000000
324973,324986,147,18.07353856,0.00017528,MDM,2 * C2H3NO_2,18.07343971,0,0,0.00000000
305845,305871,140,17.01019285,0.00041437,MDM,1 / 2 * C4H2O_1,17.01036772,0,0,0.00000000
721483,721493,130,40.12515869,0.00011580,MDM,8 * H3N_O,40.12252571,0,0,0.00000000
18256,18265,115,1.01558759,0.00011516,MDM,1 / 3 * H5O_N,1.01576151,0,0,0.00000000
91449,91463,103,5.08629863,0.00017623,DM,C4H6NO_2P_,5.08643344,0,0,0.00000000
612289,612298,98,34.05236069,0.00013834,MDM,2 * H3N,34.05309820,0,0,0.00000000
631293,631301,94,35.10918666,0.00011387,MDM,7 * H3N_O,35.10720999,0,0,0.00000000
159273,159285,85,8.85819304,0.00015590,MDM,9 * H_N_O,8.85614026,0,0,0.00000000
322416,322427,65,17.93133175,0.00017449,MDM,2 * C_2N_OP,17.93120425,0,0,0.00000000
161757,161766,65,8.99629711,0.00013928,MDM,1 / 2 * H2O_S,8.99640307,0,0,0.00000000
89434,89444,59,4.97411903,0.00013497,MDM,1 / 2 * H_6O,4.97398221,0,0,0.00000000
251998,252038,4039,14.01566510,0.00023343,Chain,CH2,14.01565006,420,14.015651232254,0.00021167
755371,755416,3846,42.01058342,0.00025434,Chain,H2O1C2,42.01056469,459,42.0105692624681,0.00018856
503350,503394,3831,27.99491605,0.00025498,Chain,CO,27.99491462,509,27.9949182848751,0.00020997
539595,539640,3785,30.01056073,0.00025288,Chain,C1H2O1,30.01056469,499,30.0105627153053,0.00017437
287582,287624,3673,15.99490830,0.00025296,Chain,O,15.99491462,508,15.9949070095455,0.00019170
287582,287624,3673,15.99490830,0.00025296,MChain,1 / 2 * O2,15.99491462,508,15.9949070095455,0.00019170
791610,791658,3613,44.02621592,0.00027244,Chain,C2H4O1,44.02621475,456,44.0262180879121,0.00018559
215746,215788,3592,12.00000144,0.00024563,Chain,C,12.00000000,505,12.0000076822142,0.00016816
504004,504055,3564,28.03130359,0.00027848,MChain,2 * CH2,28.03130013,440,28.0313025585106,0.00020408
36218,36267,3563,2.01564037,0.00025952,Chain,H2,2.01565006,444,2.0156391516035,0.00016307
251337,251384,3518,13.97926869,0.00026366,Chain,H_2O,13.97926456,444,13.9792700466174,0.00020516
467761,467810,3400,26.01566518,0.00028342,Chain,C2H2,26.01565006,361,26.0156632197029,0.00016279
35563,35613,3359,1.97925499,0.00027437,Chain,C_H_2O,1.97926456,319,1.97925386212914,0.00018091
790955,791006,3329,43.98983434,0.00029329,Chain,C1O2,43.98982924,309,43.9898294650943,0.00017927
288235,288282,3253,16.03129272,0.00025447,Chain,CH4,16.03130013,268,16.0312864247423,0.00012496
719122,719170,3122,39.99493248,0.00027727,Chain,C2O1,39.99491462,149,39.9949309452954,0.00010722
756022,756070,3054,42.04696103,0.00027459,Chain,C3H6,42.04695019,212,42.0469544886686,0.00016143
756022,756070,3054,42.04696103,0.00027459,MChain,3 * CH2,42.04695019,212,42.0469544886686,0.00016143
719779,719826,3039,40.03132408,0.00029261,Chain,C3H4,40.03130013,154,40.0313156501902,0.00015624
641,668,3035,0.03638247,0.00016684,Chain,CH4O_,0.03638551,203,0.0363774211332317,0.00011811
827197,827249,3029,46.00547612,0.00031755,Chain,C1O2H2,46.00547931,106,46.0054664164134,0.00009265
323823,323876,3002,18.01055712,0.00031177,Chain,H2O,18.01056469,101,18.0105440679612,0.00007795
538939,538990,2972,29.97417961,0.00028677,Chain,H_2O2,29.97417918,130,29.9741804593909,0.00014298
467110,467154,2945,25.97928813,0.00026055,Chain,CH_2O,25.97926456,90,25.9792778256228,0.00008207
575838,575890,2921,32.02621206,0.00030074,Chain,C1H4O1,32.02621475,100,32.0261937515924,0.00008650
71796,71854,2912,3.99486328,0.00035723,Chain,C_O,3.99491462,38,3.99490473684211,0.00008429
71796,71854,2912,3.99486328,0.00035723,MChain,1 / 4 * O_S,3.99428902,38,3.99490473684211,0.00008429
575182,575232,2810,31.98981346,0.00030454,Chain,O2,31.98982924,35,31.9898208095238,0.00011148
575182,575232,2810,31.98981346,0.00030454,MChain,2 * O,31.98982924,35,31.9898208095238,0.00011148
754712,754750,2800,41.97417896,0.00025131,Chain,C1H_2O2,41.97417918,80,41.9741754979253,0.00019201
827853,827900,2703,46.04185575,0.00028872,Chain,C2H6O1,46.04186481,68,46.0418563943662,0.00011276
179504,179552,2673,9.98437679,0.00029110,Chain,CH_2,9.98434994,10,9.9843629,0.00006317
180165,180207,2580,10.02078069,0.00028524,Chain,C2H2O_,10.02073544,6,10.0208175,0.00012709
286931,286967,2517,15.95852598,0.00023545,Chain,C_H_4O2,15.95852912,5,15.9584863333333,0.00020057
72461,72497,2489,4.03125223,0.00023270,MChain,2 * H2,4.03130013,9,4.03127739285714,0.00009384
53897,53972,2205,2.99980938,0.00081966,Chain,HON_,2.99966565,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MChain,1 / 3 * CH_NO_,3.00011145,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MChain,1 / 4 * C,3.00000000,9,2.99987028205128,0.00049803
198043,198116,2124,11.01584218,0.00083446,Chain,CHNO_,11.01598442,6,11.015756625,0.00044837
161798,161873,2056,9.00029857,0.00099208,Chain,CH_NO_,9.00033435,8,8.99998483333332,0.00063262
161798,161873,2056,9.00029857,0.00099208,MChain,3 * HON_,8.99899695,8,8.99998483333332,0.00063262
449403,449461,1983,24.99498678,0.00067522,Chain,CH_N,24.99524897,18,24.9950970606061,0.00051509
197390,197440,1912,10.97933386,0.00064095,Chain,H_3N,10.97959891,5,10.9795549375,0.00031886
341515,341576,1814,18.99489315,0.00074584,Chain,HO2N_,18.99458027,10,18.9949376764706,0.00052257
359873,359954,1696,20.01613820,0.00127078,MChain,1 / 2 * C3H4,20.01565006,7,20.01572696,0.00044485
35880,35951,1656,1.99758477,0.00074420,MChain,1 / 2 * C_O,1.99745731,26,1.99747737142857,0.00059048
35880,35951,1656,1.99758477,0.00074420,MChain,1 / 5 * CH_2,1.99686999,26,1.99747737142857,0.00059048
287890,287966,1600,16.01318924,0.00078297,MChain,1 / 2 * C1H4O1,16.01310738,42,16.0131240740741,0.00055147
251652,251723,1588,13.99746445,0.00076172,MChain,1 / 2 * CO,13.99745731,66,13.9974890180996,0.00055909
287242,287312,1578,15.97690700,0.00073504,Chain,O_S,15.97715607,5,15.9767493157895,0.00046247
702070,702131,1551,39.04694653,0.00072861,Chain,C3H5N1O_1,39.04728454,5,39.0471500666667,0.00032630
143781,143821,1549,7.99741554,0.00042571,MChain,1 / 2 * O,7.99745731,68,7.99746101246106,0.00035765
395800,395833,1510,22.01310207,0.00041533,MChain,1 / 2 * C2H4O1,22.01310738,67,22.0131103722826,0.00034294
359557,359590,1490,19.99750984,0.00041386,MChain,1 / 2 * C2O1,19.99745731,54,19.9974980368664,0.00032142
305,362,1465,0.01825172,0.00065396,MChain,1 / 2 * CH4O_,0.01819275,70,0.0182451104477609,0.00060193
107859,107907,1308,5.99991630,0.00079357,MChain,2 * HON_,5.99933130,16,6.00006998412699,0.00055722
107859,107907,1308,5.99991630,0.00079357,MChain,1 / 2 * C,6.00000000,16,6.00006998412699,0.00055722
395464,395512,1269,21.99498311,0.00078927,MChain,1 / 2 * C1O2,21.99491462,18,21.9951011612903,0.00059323
396121,396167,1183,22.03130988,0.00078502,MChain,2 * CHNO_,22.03196883,7,22.0314783181818,0.00061200
503350,503394,3831,27.99491605,0.00025498,MIsotope,4 * 119_Sn,27.99395200,509,27.9949182848751,0.00020997
539595,539640,3785,30.01056073,0.00025288,MIsotope,3 * 130_Te,30.00660840,499,30.0105627153053,0.00017437
287582,287624,3673,15.99490830,0.00025296,MIsotope,2 * 120_Sn,15.99475120,508,15.9949070095455,0.00019170
215746,215788,3592,12.00000144,0.00024563,Isotope,124_Sn,12.00045360,505,12.0000076822142,0.00016816
215746,215788,3592,12.00000144,0.00024563,MIsotope,2 * 126_Te,11.99857100,505,12.0000076822142,0.00016816
647608,647709,3142,36.01942910,0.00164294,MIsotope,9 * 194_Pt,36.02460600,0,0,0.00000000
647608,647709,3142,36.01942910,0.00164294,MIsotope,6 * 162_Dy,36.01510200,0,0,0.00000000
144232,144329,3064,8.02432331,0.00163057,MIsotope,8 * 13_C,8.02683870,0,0,0.00000000
144232,144329,3064,8.02432331,0.00163057,MIsotope,2 * 242_Pu,8.01836680,0,0,0.00000000
719779,719826,3039,40.03132408,0.00029261,MIsotope,8 * 157_Gd,40.03335200,154,40.0313156501902,0.00015624
71796,71854,2912,3.99486328,0.00035723,Isotope,40_Ar,3.99483684,38,3.99490473684211,0.00008429
71796,71854,2912,3.99486328,0.00035723,MIsotope,2 * 26_Mg,3.99510228,38,3.99490473684211,0.00008429
71796,71854,2912,3.99486328,0.00035723,MIsotope,1 / 2 * 48_Ca,3.99497140,38,3.99490473684211,0.00008429
216410,216452,2898,12.03641270,0.00026902,MIsotope,3 * 242_Pu,12.02755020,131,12.0364052903226,0.00017321
359698,359799,2842,20.00697081,0.00163424,MIsotope,4 * 125_Te,20.00161880,0,0,0.00000000
359698,359799,2842,20.00697081,0.00163424,MIsotope,2 * 130_Te,20.00440560,0,0,0.00000000
575182,575232,2810,31.98981346,0.00030454,MIsotope,4 * 120_Sn,31.98950240,35,31.9898208095238,0.00011148
431521,431578,2705,24.00006143,0.00035922,MIsotope,4 * 126_Te,23.99714200,0,0,0.00000000
431521,431578,2705,24.00006143,0.00035922,MIsotope,3 * 128_Te,24.00132420,0,0,0.00000000
431521,431578,2705,24.00006143,0.00035922,MIsotope,2 * 124_Sn,24.00090720,0,0,0.00000000
431834,431931,2611,24.01897388,0.00155739,MIsotope,8 * 155_Gd,24.02264800,0,0,0.00000000
431834,431931,2611,24.01897388,0.00155739,MIsotope,6 * 194_Pt,24.01640400,0,0,0.00000000
431834,431931,2611,24.01897388,0.00155739,MIsotope,4 * 158_Gd,24.01725200,0,0,0.00000000
431834,431931,2611,24.01897388,0.00155739,MIsotope,3 * 164_Dy,24.01467900,0,0,0.00000000
179822,179915,2491,10.00333281,0.00153907,Isotope,130_Te,10.00220280,0,0,0.00000000
179822,179915,2491,10.00333281,0.00153907,MIsotope,2 * 125_Te,10.00080940,0,0,0.00000000
179822,179915,2491,10.00333281,0.00153907,MIsotope,2 * 157_Gd,10.00833800,0,0,0.00000000
71446,71542,2446,3.97609570,0.00152046,MIsotope,4 * 11_B,3.98547400,0,0,0.00000000
180475,180572,2380,10.03958671,0.00153614,MIsotope,5 * 3_T Tritium,10.04112118,0,0,0.00000000
432175,432226,2316,24.03643648,0.00033375,MIsotope,8 * 145_Nd,24.03880000,0,0,0.00000000
432175,432226,2316,24.03643648,0.00033375,MIsotope,6 * 146_Nd,24.03235800,0,0,0.00000000
72098,72196,2305,4.01234168,0.00153714,Isotope,242_Pu,4.00918340,0,0,0.00000000
72098,72196,2305,4.01234168,0.00153714,MIsotope,4 * 13_C,4.01341935,0,0,0.00000000
72098,72196,2305,4.01234168,0.00153714,MIsotope,2 * 239_Np,4.00952820,0,0,0.00000000
72098,72196,2305,4.01234168,0.00153714,MIsotope,2 * 3_T Tritium,4.01644847,0,0,0.00000000
108035,108105,2224,6.01046509,0.00048551,Isotope,148_Nd,6.00917000,0,0,0.00000000
108035,108105,2224,6.01046509,0.00048551,MIsotope,2 * 145_Nd,6.00970000,0,0,0.00000000
53897,53972,2205,2.99980938,0.00081966,Isotope,105_Pd,2.99947600,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,3 * 139_La,2.99772300,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,3 * 40_K,3.00087531,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,1 / 2 * 70_Zn,2.99808920,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,1 / 2 * 130_Xe,2.99880605,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,1 / 2 * 126_Te,2.99964275,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,1 / 2 * 162_Dy,3.00125850,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,1 / 2 * 158_Gd,3.00215650,9,2.99987028205128,0.00049803
53897,53972,2205,2.99980938,0.00081966,MIsotope,1 / 4 * 124_Sn,3.00011340,9,2.99987028205128,0.00049803
359395,359458,2157,19.98971920,0.00046322,MIsotope,5 * 134_Ba,19.99096500,0,0,0.00000000
719438,719532,2135,40.01367434,0.00142328,MIsotope,4 * 130_Te,40.00881120,0,0,0.00000000
431182,431277,2131,23.98275614,0.00156292,MIsotope,4 * 70_Zn,23.98471360,0,0,0.00000000
431182,431277,2131,23.98275614,0.00156292,MIsotope,3 * 82_Se,23.98267020,0,0,0.00000000
269691,269741,2119,14.99991799,0.00059804,MIsotope,5 * 105_Pd,14.99738000,0,0,0.00000000
143917,143976,2094,8.00520153,0.00045118,Isotope,164_Dy,8.00489300,0,0,0.00000000
143917,143976,2094,8.00520153,0.00045118,MIsotope,2 * 194_Pt,8.00546800,0,0,0.00000000
269875,269926,2083,15.01064002,0.00056527,MIsotope,3 * 157_Gd,15.01250700,0,0,0.00000000
862774,862842,2082,47.98466982,0.00047660,MIsotope,6 * 120_Sn,47.98425360,0,0,0.00000000
17859,17911,2082,0.99499213,0.00055239,Isotope,11_B,0.99636850,0,0,0.00000000
161798,161873,2056,9.00029857,0.00099208,MIsotope,9 * 40_K,9.00262593,8,8.99998483333332,0.00063262
161798,161873,2056,9.00029857,0.00099208,MIsotope,3 * 105_Pd,8.99842800,8,8.99998483333332,0.00063262
270345,270397,2003,15.03627367,0.00055946,MIsotope,5 * 241_Pu,15.03645950,0,0,0.00000000
269221,269272,1998,14.97427967,0.00052866,MIsotope,5 * 53_Cr,14.97302100,0,0,0.00000000
324114,324199,1984,18.02794424,0.00147436,MIsotope,6 * 145_Nd,18.02910000,0,0,0.00000000
324114,324199,1984,18.02794424,0.00147436,MIsotope,3 * 148_Nd,18.02751000,0,0,0.00000000
485458,485515,1963,26.99990939,0.00055997,MIsotope,9 * 105_Pd,26.99528400,0,0,0.00000000
89841,89897,1893,4.99793928,0.00052823,Isotope,101_Ru,4.99798420,0,0,0.00000000
89841,89897,1893,4.99793928,0.00052823,MIsotope,5 * 139_La,4.99620500,0,0,0.00000000
89841,89897,1893,4.99793928,0.00052823,MIsotope,1 / 2 * 122_Sn,4.99930955,0,0,0.00000000
54102,54153,1850,3.01061366,0.00053105,MIsotope,3 * 13_C,3.01006451,0,0,0.00000000
270021,270090,1811,15.01881514,0.00069612,MIsotope,5 * 183_W,15.01759250,0,0,0.00000000
270021,270090,1811,15.01881514,0.00069612,MIsotope,3 * 179_Hf,15.01732530,0,0,0.00000000
576125,576227,1809,32.04366581,0.00151417,MIsotope,8 * 146_Nd,32.04314400,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,Isotope,13_C,1.00335484,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 2 * 239_Np,1.00238205,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 2 * 3_T Tritium,1.00411212,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 3 * 145_Nd,1.00161667,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 3 * 241_Pu,1.00243063,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 4 * 146_Nd,1.00134825,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 4 * 242_Pu,1.00229585,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 5 * 179_Hf,1.00115502,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 6 * 148_Nd,1.00152833,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MIsotope,1 / 6 * 244_Pu,1.00244077,0,0,0.00000000
647294,647338,1800,36.00006976,0.00031650,MIsotope,6 * 126_Te,35.99571300,0,0,0.00000000
647294,647338,1800,36.00006976,0.00031650,MIsotope,3 * 124_Sn,36.00136080,0,0,0.00000000
449874,449925,1798,25.02068520,0.00051747,MIsotope,5 * 157_Gd,25.02084500,0,0,0.00000000
