Index,Mass,IdealMass
627,300.11700200,300.11703448
628,300.15336800,300.15340035
629,301.00235800,301.00238417
630,301.05648400,301.05651017
631,301.06776400,301.06780306
632,301.07585700,301.07590530
633,301.08145600,301.08151069
634,301.08400800,301.08406561
635,301.09282800,301.09289568
636,301.10412500,301.10417362
637,301.11228000,301.11231486
638,301.12927500,301.12928119
639,301.14056300,301.14057214
640,301.16565100,301.16566669
641,302.03402300,302.03405791
642,302.05178100,302.05181603
643,302.05986100,302.05989608
644,302.07028900,302.07032415
645,302.08814700,302.08818226
646,302.09623400,302.09626932
647,302.12454300,302.12457850
648,302.13263900,302.13267455
649,303.01801000,303.01803373
650,303.03575100,303.03577473
651,303.05437700,303.05442919
652,303.06067900,303.06074082
653,303.06404800,303.06411497
654,303.07208100,303.07216024
655,303.08340500,303.08336972
656,303.08749300,303.08741637
657,303.09076100,303.09070795
658,303.09705900,303.09705140
659,303.10023700,303.10025233
660,303.10847100,303.10854575
661,303.11986100,303.11992683
662,303.12725000,303.12731005
663,303.14488500,303.14493125
664,303.18121300,303.18131676
665,304.03903800,304.03907249
666,304.04967700,304.04971140
667,304.05775000,304.05778434
668,304.06736600,304.06740026
669,304.07547300,304.07550720
670,304.08604400,304.08607812
671,304.09414100,304.09417505
672,304.10376000,304.10379398
673,304.11189100,304.11192491
674,304.14838500,304.14841863
675,305.03029500,305.03029542
676,305.03364200,305.03364788
677,305.05139000,305.05142480
678,305.07001800,305.07004845
679,305.07656700,305.07659592
680,305.07974100,305.07976918
681,305.08778400,305.08781030
682,305.10308300,305.10306644
683,305.10641800,305.10640402
684,305.11284000,305.11283100
685,305.11604800,305.11604149
686,305.12419600,305.12419581
687,305.14274200,305.14279933
688,305.16046900,305.16058132
689,306.02893000,306.02894441
690,306.03709500,306.03710930
691,306.06192000,306.06193399
692,306.06532400,306.06533795
693,306.07343100,306.07344485
694,306.08309800,306.08311172
695,306.09114100,306.09115462
696,306.09827300,306.09828653
697,306.10170400,306.10171749
698,306.10986800,306.10988139
699,306.12763800,306.12765116
700,307.01294300,307.01293149
701,307.04595700,307.04594549
702,307.04929200,307.04928026
703,307.05895100,307.05893860
704,307.08234500,307.08233099
705,307.08466200,307.08465452
706,307.08567500,307.08567038
707,307.09539800,307.09542078
708,307.10341500,307.10346037
709,307.11873200,307.11871650
710,307.12208700,307.12207150
711,307.13174200,307.13172650
712,307.99048000,307.99049087
713,308.04122000,308.04123141
714,308.04454000,308.04455145
715,308.04936700,308.04937850
716,308.05268100,308.05269254
717,308.07754600,308.07755781
718,308.08093400,308.08094584
719,308.08907000,308.08908193
720,308.11390400,308.11391620
721,308.12207600,308.12208829
722,308.12540300,308.12541533
723,309.02521200,309.02521005
724,309.02860700,309.02860687
725,309.06157800,309.06159555
726,309.06493100,309.06495201
727,309.07293700,309.07296627
728,309.08155800,309.08159617
729,309.09792600,309.09798106
730,309.10128900,309.10134327
731,309.10922100,309.10927342
732,309.11107600,309.11112799
733,309.13432000,309.13436657
734,309.13767300,309.13771501
735,309.17075500,309.17075207
736,310.03191400,310.03194458
737,310.05680200,310.05683278
738,310.06014200,310.06017281
739,310.06492800,310.06495885
740,310.06829500,310.06832588
741,310.09317600,310.09320709
742,310.10131300,310.10134415
743,310.10466400,310.10469518
744,310.12949600,310.12952739
745,310.13773800,310.13776945
746,311.04083900,311.04086011
747,311.04422700,311.04424974
748,311.07720700,311.07724562
749,311.08058800,311.08062769
750,311.08847800,311.08852018
751,311.11358100,311.11363112
752,311.11698300,311.11703289
753,311.14996900,311.15001663
754,312.04402200,312.04404680
755,312.07246200,312.07248636
756,312.08055200,312.08057623
757,312.08395500,312.08397918
758,312.10888200,312.10890580
759,312.11695600,312.11697968
760,312.15341100,312.15343412
761,313.00233400,313.00223667
762,313.02022200,313.02012467
763,313.02357500,313.02348918
764,313.03877300,313.03873937
765,313.05648300,313.05651017
766,313.09174800,313.09179797
767,313.09284500,313.09289568
768,313.10409300,313.10413673
769,313.12925300,313.12928119
770,313.16563200,313.16566669
771,314.03395800,314.03397586
772,314.05174300,314.05176104
773,314.05983800,314.05985611
774,314.08812000,314.08813839
775,314.09624400,314.09626247
776,314.09948800,314.09950650
777,314.12449800,314.12451675
778,314.13262700,314.13264582
779,314.16892800,314.16894718
780,314.98165600,314.98168673
781,315.01805700,315.01808773
782,315.03574400,315.03577473
783,315.03899800,315.03903173
784,315.07209600,315.07216024
785,315.08334300,315.08340214
786,315.10740100,315.10744924
787,315.10849800,315.10854575
788,315.11978900,315.11983070
789,315.14490300,315.14493125
790,315.18134600,315.18131676
791,316.01315100,316.01318114
792,316.03933000,316.03936019
793,316.04965700,316.04968721
794,316.06736300,316.06739325
795,316.07549100,316.07552126
796,316.10375500,316.10378532
797,316.11184500,316.11187533
798,316.14018400,316.14021439
799,316.14818800,316.14821841
800,317.03372100,317.03376080
801,317.05138500,317.05142480
802,317.07003300,317.07007921
803,317.07646200,317.07651042
804,317.07971200,317.07976154
805,317.08775800,317.08781030
806,317.09901600,317.09905733
807,317.10633700,317.10637120
808,317.11282800,317.11285587
809,317.11606500,317.11608972
810,317.12417900,317.12419581
811,317.16056100,317.16058132
812,318.05477900,318.05479632
813,318.06525900,318.06527615
814,318.07346900,318.07348602
815,318.08306200,318.08307887
816,318.09114800,318.09116475
817,318.11944800,318.11946430
818,318.12752600,318.12754217
819,319.00971400,319.00973935
820,319.01297200,319.01299735
821,319.03066400,319.03068935
822,319.04593700,319.04594549
823,319.04933200,319.04934312
824,319.05895600,319.05897458
