mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,p_dtma,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
21919,C18H30O3S,HCOS,18,30,3,1,0,326.19156582078,325.1842893539,4.2,4.8,0.875,4,2,0,0,0.00751455035060644,0.006297152282797,0.00621531903743744,0,1.27392858732492,1.28845651587471,0.988724548814181,-0.0274244386127096
22685,C17H27O4Cl,HCOCl,17,27,4,0,1,330.15978702413,329.15251055725,4,5.6,0.714285714285714,4,0,0,0,0.0203219992108643,0.0107506328122764,0.00679003074765205,0,1.5626549385488,1.59801493119448,0.977872551779444,-0.0284954263498115
23011,C15H21O6Cl,HCOCl,15,21,6,0,1,332.10266607083,331.09538960395,4,5.6,0.714285714285714,4,0,0,0,0.0835598143748939,0.0555271100229626,0.0488041937351227,0,1.53410233557224,1.5693614569027,0.977532823190368,-0.0273171152060586
23041,C16H25O5Cl,HCOCl,16,25,5,0,1,332.13905157955,331.13177511267,4,5.6,0.714285714285714,4,0,0,0,0.172938798554242,0.109845558299789,0.0973601341247559,0,1.54837863892317,1.58374070131686,0.97767181056578,-0.0288854532203992
23428,C15H23O6Cl,HCOCl,15,23,6,0,1,334.11831613497,333.11103966809,4,5.6,0.714285714285714,4,0,0,0,0.0352291348390281,0.0221984750544175,0.0174954682588577,0,1.53410233557224,1.56959148333408,0.977389564011617,-0.0322785149440641
23826,C15H25O6Cl,HCOCl,15,25,6,0,1,336.13396619911,335.12668973223,4,5.6,0.714285714285714,4,0,0,0,0.0232829782180488,0.0129713391060123,0.0102773904800415,0,1.53410233557224,1.56982150976546,0.977246346816489,-0.0371863359438198
25238,C6H3O2Br3,HCOBr,6,3,2,0,3,345.76626913533,344.75899266845,4,9.5,0.421052631578947,4,0,0,0,0.222700877930038,0.100880698893822,0.0648943707346916,1.75237655639648E-05,2.63086861371994,2.81587164115626,0.93429990744878,-0.0392007867832865
25788,C16H23O6Cl,HCOCl,16,23,6,0,1,346.11831613497,345.11103966809,4,5.6,0.714285714285714,4,0,0,0,0.107366633601487,0.070908067342948,0.0655305981636047,0,1.54837863892317,1.58630221453495,0.976093095461697,-0.0192095144663357
26153,C15H21O7Cl,HCOCl,15,21,7,0,1,348.09758069039,347.09030422351,4,5.6,0.714285714285714,4,0,0,0,0.077453535515815,0.0569464280061839,0.0546882599592209,0,1.53410233557224,1.57278828020208,0.975402954665416,-0.0254474781033625
26194,C16H25O6Cl,HCOCl,16,25,6,0,1,348.13396619911,347.12668973223,4,5.6,0.714285714285714,4,0,0,0,0.209134188480675,0.187431822005009,0.186676472425461,0,1.54837863892317,1.58653224096633,0.975951574725057,-0.0269446987202238
26563,C15H23O7Cl,HCOCl,15,23,7,0,1,350.11323075453,349.10595428765,4,5.6,0.714285714285714,4,0,0,0,0.0547617194242775,0.0329338898382481,0.0274167060852051,0,1.53410233557224,1.57301830663346,0.975260319033094,-0.0159235163183838
26600,C16H27O6Cl,HCOCl,16,27,6,0,1,350.14961626325,349.14233979637,4,5.6,0.714285714285714,4,0,0,0,0.0873456122353673,0.0482614667204819,0.0313225388526917,0,1.54837863892317,1.58676226739772,0.97581009501978,-0.0145490649380093
28686,C17H25O6Cl,HCOCl,17,25,6,0,1,360.13396619911,359.12668973223,4,5.6,0.714285714285714,4,0,0,0,0.0723648560233414,0.044699667921037,0.034547284245491,0,1.5626549385488,1.60341243655421,0.974580777174839,-0.0287881141138351
29030,C17H16N4FSCl,HCNFSCl,17,16,0,5,2,362.07682343232,361.06954696544,4.1,7.1,0.577464788732394,4,1,0,0,0.0912794899195433,0.0473056929373906,0.0340422838926315,0,1.56410667591263,1.68416927405633,0.928711086235095,0.051992258575354
29031,C15H19O8Cl,HCOCl,15,19,8,0,1,362.07684524581,361.06956877893,4,5.6,0.714285714285714,4,0,0,0,0.0510394331067801,0.0298452087889705,0.0254109501838684,0,1.53410233557224,1.57598507776856,0.973424404337874,-0.00842128219339975
29952,C16H27O7Cl,HCOCl,16,27,7,0,1,366.14453088281,365.13725441593,4,5.6,0.714285714285714,4,0,0,0,0.0230580945499241,0.0126758081769112,0.0102924108505249,0,1.54837863892317,1.58966494584456,0.974028296321614,-0.00837971373427138
29996,C18H35O5Cl,HCOCl,18,35,5,0,1,366.21730190025,365.21002543337,4.1,5.8,0.706896551724138,4,1,0,0,0.0170589094050229,0.00970734138170362,0.00678861141204834,0,1.59482917562127,1.62108158227056,0.983805622779008,-0.00849384342001796
31625,C17H23O7Cl,HCOCl,17,23,7,0,1,374.11323075453,373.10595428765,4,5.6,0.714285714285714,4,0,0,0,0.100493196863681,0.0627535923967818,0.052633598446846,0,1.5626549385488,1.60599617497064,0.973012864477943,-0.00450375576048921
32506,C18H20N4FSCl,HCNFSCl,18,20,0,5,2,378.1081235606,377.10084709372,4.1,7.2,0.569444444444444,4,1,0,0,0.0448462693020701,0.0223341440655038,0.0143154067918658,0,1.57846837188117,1.70280890213326,0.92697916360649,0.0427298199386874
32507,C16H23O8Cl,HCOCl,16,23,8,0,1,378.10814537409,377.10086890721,4,5.6,0.714285714285714,4,0,0,0,0.0215585436671972,0.0116378166700898,0.00855357944965363,0,1.54837863892317,1.59265394345857,0.972200298302557,-0.0151154217732948
33390,C18H24N4FSCl,HCNFSCl,18,24,0,5,2,382.13942368888,381.132147222,4.1,7.2,0.569444444444444,4,1,0,0,0.0782799823209643,0.0410971390541384,0.0313414186239243,0,1.57846837188117,1.70326895499602,0.926728786579017,0.0513115736913132
35254,C19H31O6Cl,HCOCl,19,31,6,0,1,390.18091639153,389.17363992465,4,5.8,0.689655172413793,4,0,0,0,0.110742968972772,0.0653833335553747,0.050029993057251,0,1.59120755642653,1.6406929329969,0.969838733637998,0.0050200662116987
35589,C18H18N4OFSCl,HCNOFSCl,18,18,1,5,2,392.08738811602,391.08011164914,4.1,7.2,0.569444444444444,4,1,0,0,0.0485529443249106,0.0254485985866966,0.0187943130731583,0,1.59482917562127,1.70309673552401,0.936429001568469,0.0576130256470514
35590,C16H21O9Cl,HCOCl,16,21,9,0,1,392.08740992951,391.08013346263,4.1,6.7,0.611940298507463,4,1,0,0,0.0184979856712744,0.00992844154725307,0.00722715258598328,0,1.56241623591632,1.59799393999856,0.977736020649568,0.00183547682795454
35664,C18H29O7Cl,HCOCl,18,29,7,0,1,392.16018094695,391.15290448007,4,5.8,0.689655172413793,4,0,0,0,0.0851298128254712,0.060241377069929,0.0579165816307068,0,1.57693123817444,1.62584268976934,0.969916245954986,0.00172224107631417
37957,C19H27O7Cl,HCOCl,19,27,7,0,1,402.14453088281,401.13725441593,4,5.7,0.701754385964912,4,0,0,0,0.0282216048799455,0.0173158130195772,0.0154401361942291,0,1.59120755642653,1.64195031707641,0.96909604381926,0.00501920153547012
38365,C18H25O8Cl,HCOCl,18,25,8,0,1,404.12379543823,403.11651897135,4,6.7,0.597014925373134,4,0,0,0,0.053783668554388,0.0285114700243969,0.019104965031147,0,1.57693123817444,1.62817549693864,0.968526575384195,0.0042303990042658
38874,C19H31O7Cl,HCOCl,19,31,7,0,1,406.17583101109,405.16855454421,4,5.8,0.689655172413793,4,0,0,0,0.0326258069835603,0.0198052403285476,0.0176708996295929,0,1.59120755642653,1.64355115056969,0.968152135621077,0.0181331371931495
